architecture,training_condition,evaluation_condition,seed_count,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
transformer,encoding_e4,encoding_e4,3,0.99521892113591637,0.002531490694899692,0.83424202127659575,0.04879133474223251
transformer,encoding_e4,statistics_s4,3,0.21994595212176471,0.033978692860021788,0,0
transformer,encoding_e4,algebra_a4,3,0.35302198997987871,0.010238813822523457,0,0
mlp,encoding_e4,encoding_e4,3,0.75533302238847844,0.0073243816245441313,0.15877659574468087,0.004133986423538424
mlp,encoding_e4,statistics_s4,3,0.25007017631921791,0.030263750626613871,0,0
mlp,encoding_e4,algebra_a4,3,0.29333101849990856,0.036828722558723659,0,0
transformer,statistics_s4,encoding_e4,3,0.12411860276375658,0.0062030455187127541,0,0
transformer,statistics_s4,statistics_s4,3,0.87311242954592683,0.0088058473778165128,0.48906250000000001,0.0086996318169219235
transformer,statistics_s4,algebra_a4,3,0.21424470882827265,0.0057369732395394796,0.04746835443037975,0.0015822784810126563
mlp,statistics_s4,encoding_e4,3,0.20902391398073647,0.015059938477806682,0,0
mlp,statistics_s4,statistics_s4,3,0.82079675451175904,0.0052992170969771209,0.38958333333333334,0.020332522183274082
mlp,statistics_s4,algebra_a4,3,0.2680560459772186,0.007873765619114962,0.04905063291139241,0.017831372894912413
transformer,algebra_a4,encoding_e4,3,0.34877844700220795,0.0057815404293968852,0,0
transformer,algebra_a4,statistics_s4,3,0.27100552226552277,0.024809926083736947,0,0
transformer,algebra_a4,algebra_a4,3,0.99897688801349249,0.00066378111587115621,0.98089375682334545,0.012256099211010481
mlp,algebra_a4,encoding_e4,3,0.409812691717165,0.024614506297405483,0,0
mlp,algebra_a4,statistics_s4,3,0.19405821289982952,0.0048084674601454836,0.0031250000000000006,0.0031250000000000002
mlp,algebra_a4,algebra_a4,3,0.79401261981073379,0.0040676951257290197,0.31954707124802062,0.011463513387767381
