protocol_version,matrix,condition,run_id,architecture,trained_task_count,seed,evaluation_group,task_count,task_macro_token_accuracy,task_macro_sequence_accuracy
henry-permutation/v2-revised,nested,,transformer-tasks01-seed17,transformer,1,17,pool_unseen,15,0.31248033226168037,0.078750000000000001
henry-permutation/v2-revised,nested,,transformer-tasks01-seed17,transformer,1,17,fixed_train_holdout,4,0.13697102708791611,0.015625
henry-permutation/v2-revised,nested,,transformer-tasks01-seed17,transformer,1,17,seen,1,0.859375,0.71875
henry-permutation/v2-revised,nested,,transformer-tasks01-seed42,transformer,1,42,pool_unseen,15,0.32259765427939269,0.08458333333333333
henry-permutation/v2-revised,nested,,transformer-tasks01-seed42,transformer,1,42,fixed_train_holdout,4,0.15890062163261595,0.0234375
henry-permutation/v2-revised,nested,,transformer-tasks01-seed42,transformer,1,42,seen,1,0.92812499999999998,0.85624999999999996
henry-permutation/v2-revised,nested,,transformer-tasks01-seed314159,transformer,1,314159,pool_unseen,15,0.31112227362682582,0.073749999999999996
henry-permutation/v2-revised,nested,,transformer-tasks01-seed314159,transformer,1,314159,fixed_train_holdout,4,0.1507492485627534,0.015625
henry-permutation/v2-revised,nested,,transformer-tasks01-seed314159,transformer,1,314159,seen,1,0.90000000000000002,0.80000000000000004
henry-permutation/v2-revised,nested,,mlp-tasks01-seed17,mlp,1,17,pool_unseen,15,0.31367032202052997,0.092088607594936714
henry-permutation/v2-revised,nested,,mlp-tasks01-seed17,mlp,1,17,fixed_train_holdout,4,0.14256524791911965,0.021874999999999999
henry-permutation/v2-revised,nested,,mlp-tasks01-seed17,mlp,1,17,seen,1,0.765625,0.53125
henry-permutation/v2-revised,nested,,mlp-tasks01-seed42,mlp,1,42,pool_unseen,15,0.30007649988357527,0.08835970464135022
henry-permutation/v2-revised,nested,,mlp-tasks01-seed42,mlp,1,42,fixed_train_holdout,4,0.14885470227580133,0.021874999999999999
henry-permutation/v2-revised,nested,,mlp-tasks01-seed42,mlp,1,42,seen,1,0.75,0.5
henry-permutation/v2-revised,nested,,mlp-tasks01-seed314159,mlp,1,314159,pool_unseen,15,0.29873043799177079,0.096297468354430385
henry-permutation/v2-revised,nested,,mlp-tasks01-seed314159,mlp,1,314159,fixed_train_holdout,4,0.14917575796705254,0.021874999999999999
henry-permutation/v2-revised,nested,,mlp-tasks01-seed314159,mlp,1,314159,seen,1,0.75312500000000004,0.50624999999999998
henry-permutation/v2-revised,nested,,transformer-tasks02-seed17,transformer,2,17,pool_unseen,14,0.3068229403326293,0.066517857142857142
henry-permutation/v2-revised,nested,,transformer-tasks02-seed17,transformer,2,17,fixed_train_holdout,4,0.15778549196668037,0.020312500000000001
henry-permutation/v2-revised,nested,,transformer-tasks02-seed17,transformer,2,17,seen,2,0.94687500000000002,0.89375000000000004
henry-permutation/v2-revised,nested,,transformer-tasks02-seed42,transformer,2,42,pool_unseen,14,0.30194973083366483,0.071428571428571425
henry-permutation/v2-revised,nested,,transformer-tasks02-seed42,transformer,2,42,fixed_train_holdout,4,0.15831956245269435,0.021874999999999999
henry-permutation/v2-revised,nested,,transformer-tasks02-seed42,transformer,2,42,seen,2,0.94374999999999998,0.88749999999999996
henry-permutation/v2-revised,nested,,transformer-tasks02-seed314159,transformer,2,314159,pool_unseen,14,0.29600179134559268,0.083493444846292952
henry-permutation/v2-revised,nested,,transformer-tasks02-seed314159,transformer,2,314159,fixed_train_holdout,4,0.13934315690943661,0.025000000000000001
henry-permutation/v2-revised,nested,,transformer-tasks02-seed314159,transformer,2,314159,seen,2,0.94062500000000004,0.88124999999999998
henry-permutation/v2-revised,nested,,mlp-tasks02-seed17,mlp,2,17,pool_unseen,14,0.27837797317577179,0.072321428571428564
henry-permutation/v2-revised,nested,,mlp-tasks02-seed17,mlp,2,17,fixed_train_holdout,4,0.14002664881469326,0.015625
henry-permutation/v2-revised,nested,,mlp-tasks02-seed17,mlp,2,17,seen,2,0.75937499999999991,0.51875000000000004
henry-permutation/v2-revised,nested,,mlp-tasks02-seed42,mlp,2,42,pool_unseen,14,0.28195252173265689,0.07901785714285714
henry-permutation/v2-revised,nested,,mlp-tasks02-seed42,mlp,2,42,fixed_train_holdout,4,0.14129775357181595,0.021874999999999999
henry-permutation/v2-revised,nested,,mlp-tasks02-seed42,mlp,2,42,seen,2,0.74843749999999998,0.49687500000000001
henry-permutation/v2-revised,nested,,mlp-tasks02-seed314159,mlp,2,314159,pool_unseen,14,0.26304590470085315,0.071875000000000008
henry-permutation/v2-revised,nested,,mlp-tasks02-seed314159,mlp,2,314159,fixed_train_holdout,4,0.14549701116090435,0.012500000000000001
henry-permutation/v2-revised,nested,,mlp-tasks02-seed314159,mlp,2,314159,seen,2,0.76249999999999996,0.52500000000000002
henry-permutation/v2-revised,nested,,transformer-tasks04-seed17,transformer,4,17,pool_unseen,12,0.34589326556228511,0.074479166666666666
henry-permutation/v2-revised,nested,,transformer-tasks04-seed17,transformer,4,17,fixed_train_holdout,4,0.29268162782410295,0.015625
henry-permutation/v2-revised,nested,,transformer-tasks04-seed17,transformer,4,17,seen,4,0.88354254393994869,0.68593749999999998
henry-permutation/v2-revised,nested,,transformer-tasks04-seed42,transformer,4,42,pool_unseen,12,0.39686820000933715,0.085416666666666655
henry-permutation/v2-revised,nested,,transformer-tasks04-seed42,transformer,4,42,fixed_train_holdout,4,0.35664567169257638,0.020312500000000001
henry-permutation/v2-revised,nested,,transformer-tasks04-seed42,transformer,4,42,seen,4,0.88465534602709628,0.69218749999999996
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,pool_unseen,12,0.37794641905952037,0.067708333333333329
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,fixed_train_holdout,4,0.34038230786766877,0.015625
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,seen,4,0.88967268170999636,0.69218750000000007
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,pool_unseen,12,0.41141558689106961,0.070833333333333345
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,fixed_train_holdout,4,0.35649617858003718,0.0234375
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,seen,4,0.76358648388868544,0.46875
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,pool_unseen,12,0.40882638517347164,0.019791666666666669
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,fixed_train_holdout,4,0.37407587619089155,0.050000000000000003
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,seen,4,0.76359277737092635,0.47499999999999998
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,pool_unseen,12,0.41035317909395075,0.042187499999999996
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,fixed_train_holdout,4,0.3796434943539535,0.020312500000000001
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,seen,4,0.76002580327718783,0.47187500000000004
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,pool_unseen,8,0.36985147551629122,0.012539556962025317
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,fixed_train_holdout,4,0.31054539473507864,0.0062500000000000003
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,seen,8,0.86631546028077122,0.60771233974358974
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,pool_unseen,8,0.37475514393591042,0.038419699367088604
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,fixed_train_holdout,4,0.28947238223963401,0.018749999999999999
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,seen,8,0.87464093332589632,0.61231971153846154
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,pool_unseen,8,0.39242022624379291,0.026700949367088608
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,fixed_train_holdout,4,0.2974565637861375,0.0015625000000000001
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,seen,8,0.8746378493420619,0.60610977564102564
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,pool_unseen,8,0.41457212182468173,0.020539952531645568
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,fixed_train_holdout,4,0.33738271374273593,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,seen,8,0.76780445021844757,0.39945913461538463
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,pool_unseen,8,0.44231367864368043,0.023625395569620254
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,fixed_train_holdout,4,0.34279279626610509,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,seen,8,0.76388412554359508,0.41508413461538463
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,pool_unseen,8,0.42503073864353375,0.0055379746835443038
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,fixed_train_holdout,4,0.35328994078901321,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,seen,8,0.75918935467484694,0.4206330128205128
henry-permutation/v2-revised,nested,,transformer-tasks16-seed17,transformer,16,17,seen,16,0.81071624172720613,0.49977001176566049
henry-permutation/v2-revised,nested,,transformer-tasks16-seed17,transformer,16,17,fixed_train_holdout,4,0.32411356050170775,0
henry-permutation/v2-revised,nested,,transformer-tasks16-seed42,transformer,16,42,seen,16,0.81041819612993071,0.50215369908308993
henry-permutation/v2-revised,nested,,transformer-tasks16-seed42,transformer,16,42,fixed_train_holdout,4,0.26884751365074788,0
henry-permutation/v2-revised,nested,,transformer-tasks16-seed314159,transformer,16,314159,seen,16,0.80482858459109141,0.48614821689386561
henry-permutation/v2-revised,nested,,transformer-tasks16-seed314159,transformer,16,314159,fixed_train_holdout,4,0.26999804491751322,0.0031250000000000002
henry-permutation/v2-revised,nested,,mlp-tasks16-seed17,mlp,16,17,seen,16,0.72114931308723296,0.3555148997890295
henry-permutation/v2-revised,nested,,mlp-tasks16-seed17,mlp,16,17,fixed_train_holdout,4,0.33170827490434507,0.010937499999999999
henry-permutation/v2-revised,nested,,mlp-tasks16-seed42,mlp,16,42,seen,16,0.71847147709835935,0.35152395731905223
henry-permutation/v2-revised,nested,,mlp-tasks16-seed42,mlp,16,42,fixed_train_holdout,4,0.32904738429287206,0.012500000000000001
henry-permutation/v2-revised,nested,,mlp-tasks16-seed314159,mlp,16,314159,seen,16,0.72160581346922537,0.35778384655955858
henry-permutation/v2-revised,nested,,mlp-tasks16-seed314159,mlp,16,314159,fixed_train_holdout,4,0.33855307748252073,0.0093749999999999997
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,encoding_e4,4,0.99794256808361825,0.89052526595744674
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,statistics_s4,4,0.23598969924288796,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,algebra_a4,4,0.36361028374283655,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,encoding_e4,4,0.9947762035409331,0.80827792553191491
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,statistics_s4,4,0.24293214528924634,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,algebra_a4,4,0.35228298688145188,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed314159,transformer,4,314159,encoding_e4,4,0.99293799178319764,0.80392287234042548
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed314159,transformer,4,314159,statistics_s4,4,0.18091601183315983,0
