split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s0,17,0,embedding,0.7704641235042734,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,0,block_01,0.1629589693518806,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,0,block_02,0.20333879447876452,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,0,block_03,0.21167520791491296,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,0,block_04,0.1805921348540387,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,0,final_norm,0.15738719961341532,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r0-transformer-seed17
s0,17,1,embedding,0.7472421509329342,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,1,block_01,0.13006599794492976,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,1,block_02,0.15636549992672744,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,1,block_03,0.1585230485187231,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,1,block_04,0.16563205936558398,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,1,final_norm,0.18694529759720274,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r1-transformer-seed17
s0,17,2,embedding,0.8129444271966698,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,2,block_01,0.1476779737791764,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,2,block_02,0.14489281080102592,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,2,block_03,0.13784140380340468,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,2,block_04,0.11271395022630608,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,2,final_norm,0.1270303378502099,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r2-transformer-seed17
s0,17,4,embedding,0.8778047275391242,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r4-transformer-seed17
s0,17,4,block_01,0.08189273659034851,geometry-bundle-s0-anchor-transformer-seed17,geometry-bundle-s0-r4-transformer-seed17
