seed_a,seed_b,layer,linear_cka
17,42,embedding,0.889646804162805
17,42,block_01,0.8951769886578883
17,42,block_02,0.9069295521455915
17,42,block_03,0.9042491017842526
17,42,block_04,0.8945995712693431
17,42,final_norm,0.8881470768823619
17,101,embedding,0.9000463080393095
17,101,block_01,0.8641607659684329
17,101,block_02,0.8704816251206583
17,101,block_03,0.8792858936048713
17,101,block_04,0.8754949045055134
17,101,final_norm,0.8673391768871814
42,101,embedding,0.9018761861608038
42,101,block_01,0.8739513290710451
42,101,block_02,0.8868717100926153
42,101,block_03,0.8787918970031773
42,101,block_04,0.8819557946414497
42,101,final_norm,0.8830232345337338
