logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-specialist-descents-transformer-seed17,property-a-transformer-tasks01-seed17,specialist,,specialist,,17,descents,True,20000,1.0,1.0,96cb96d163fb751d5c321c52b770b46a7918c1be275fc5eb0f3fae78a241e17a
geometry-specialist-descents-transformer-seed42,geometry-specialist-descents-transformer-seed42,specialist,,specialist,,42,descents,False,20000,1.0,1.0,b3a0de80a387a8022a4cb79c7b142efc0a27c819efce4b80bd83eda85003664e
geometry-specialist-descents-transformer-seed101,property-b-transformer-tasks01-seed101,specialist,,specialist,,101,descents,True,20000,1.0,1.0,e734bca31bb18bb64f0b688699e0d95611bd601921a8145fcd01c2824f71d509
geometry-specialist-recoils-transformer-seed17,property-b-transformer-tasks01-seed17,specialist,,specialist,,17,recoils,True,20000,0.91875,0.8375,f9e4e8a56304d039a581514e0b55c324e7139f45f6a087096bfe469e9213ed11
geometry-specialist-recoils-transformer-seed42,relation-s0-a-transformer-tasks01-seed42,specialist,,specialist,,42,recoils,True,20000,0.86875,0.7375,1a871155189aebe8db652e834b9b4e14ad3e4ca8f02e8f9c6df2d1927ea80c34
geometry-specialist-recoils-transformer-seed101,relation-s0-a-transformer-tasks01-seed101,specialist,,specialist,,101,recoils,True,20000,0.934375,0.86875,764c1b1f280157a5654d9134e4449b4a495a2d4d609297516eb44384c4a11a1f
geometry-specialist-peaks-transformer-seed17,relation-s2-a-transformer-tasks01-seed17,specialist,,specialist,,17,peaks,True,20000,0.85625,0.7125,de9477f85a68b326fbac94cd211e3508b10bab3aa0144144cdc5861607cc195e
geometry-specialist-peaks-transformer-seed42,property-a-transformer-tasks01-seed42,specialist,,specialist,,42,peaks,True,20000,0.878125,0.75625,884340fa708a647b170f90f3f66a33fd903498cf5542624921d7c9800f32df94
geometry-specialist-peaks-transformer-seed101,relation-s2-a-transformer-tasks01-seed101,specialist,,specialist,,101,peaks,True,20000,0.925,0.85,ad7d8f1a32b65c691aafc96179d22b4209ddd3ae24e531f4f1be025a86bdea8e
geometry-specialist-valleys-transformer-seed17,geometry-specialist-valleys-transformer-seed17,specialist,,specialist,,17,valleys,False,20000,0.98125,0.9625,371418b9e55001c55ac77b4cebcf53d645437d54e7085950c016b048defef66e
geometry-specialist-valleys-transformer-seed42,geometry-specialist-valleys-transformer-seed42,specialist,,specialist,,42,valleys,False,20000,0.99375,0.9875,8cab46d56842d5db10fe18e803c1111fd47da7968e38fc575e4b69b2ea99eae2
geometry-specialist-valleys-transformer-seed101,geometry-specialist-valleys-transformer-seed101,specialist,,specialist,,101,valleys,False,20000,0.953125,0.90625,60847050ba65959a0060cf379b410288edf40c0f7f60a2429c7a9bf3168cfbfc
geometry-specialist-fixed_points-transformer-seed17,geometry-specialist-fixed_points-transformer-seed17,specialist,,specialist,,17,fixed_points,False,20000,1.0,1.0,c59d28030f3e0790f157c240a72672aa08d1c435d70c5a246aa139d343f7ac08
geometry-specialist-fixed_points-transformer-seed42,geometry-specialist-fixed_points-transformer-seed42,specialist,,specialist,,42,fixed_points,False,20000,1.0,1.0,27f1225c4514346cd6efdd9e6c6decd60d93e40b39bbe1ff174bbf9064bfa475
geometry-specialist-fixed_points-transformer-seed101,geometry-specialist-fixed_points-transformer-seed101,specialist,,specialist,,101,fixed_points,False,20000,1.0,1.0,d5976575d62e41c1351a2b42b5daaacbe649082e200d7cdce97cbcabfbe4af17
geometry-specialist-anti_fixed_points-transformer-seed17,geometry-specialist-anti_fixed_points-transformer-seed17,specialist,,specialist,,17,anti_fixed_points,False,20000,0.984375,0.96875,21b357419e5532b6490c07f95b7acbd4d47b4f7dc549d0d0a15e3778f8b5053f
geometry-specialist-anti_fixed_points-transformer-seed42,geometry-specialist-anti_fixed_points-transformer-seed42,specialist,,specialist,,42,anti_fixed_points,False,20000,0.996875,0.99375,982cb273da99cea99b167b5ce857810ccf08b89fe72b09f8395211c0170935a3
