comparison,task_a,task_b,seed_comparison_count,final_layer_cka_mean,final_layer_cka_sample_sd
direct_relation,descents,recoils,6,0.18168242174105542,0.048779121308750874
direct_relation,exceedances,deficiencies,6,0.14447201911837113,0.019289403443625723
direct_relation,fixed_points,anti_fixed_points,6,0.03405254428826692,0.03809711792660193
direct_relation,global_descents,components,6,0.07381364882817125,0.06824843822554999
direct_relation,left_to_right_maxima,left_to_right_minima,6,0.023376347762312396,0.010354088937849627
direct_relation,lis_length,lds_length,6,0.11911076924855096,0.015498384229030835
direct_relation,longest_increasing_run,longest_decreasing_run,6,0.05295592735633945,0.008962426770044595
direct_relation,peaks,valleys,6,0.4703921589439047,0.04055216660611501
no_direct_relation,anti_fixed_points,components,6,0.06830788077370717,0.020708942329512637
no_direct_relation,anti_fixed_points,deficiencies,6,0.06701000861249806,0.017718594594076008
no_direct_relation,anti_fixed_points,exceedances,6,0.06941924012196331,0.022935837476073723
no_direct_relation,anti_fixed_points,global_descents,6,0.12894472321178801,0.02687989531000422
no_direct_relation,anti_fixed_points,lds_length,6,0.07342796679061837,0.024642247733033463
no_direct_relation,anti_fixed_points,left_to_right_maxima,6,0.05127180299482995,0.006509237749889231
no_direct_relation,anti_fixed_points,left_to_right_minima,6,0.05534467270210088,0.014938678613321573
no_direct_relation,anti_fixed_points,lis_length,6,0.13086995791144113,0.03708783037558616
no_direct_relation,anti_fixed_points,longest_decreasing_run,6,0.06608673403384845,0.020799680923821992
no_direct_relation,anti_fixed_points,longest_increasing_run,6,0.07399741387125777,0.02643520107530116
no_direct_relation,deficiencies,components,6,0.032786869869959906,0.005271944031605054
no_direct_relation,deficiencies,global_descents,6,0.05184396642701885,0.014282951206655042
no_direct_relation,deficiencies,lds_length,6,0.12277430329683874,0.016217194998146434
no_direct_relation,deficiencies,left_to_right_maxima,6,0.04511091785957919,0.009934886776156152
no_direct_relation,deficiencies,left_to_right_minima,6,0.051828126138868814,0.016426700355825035
no_direct_relation,deficiencies,lis_length,6,0.16815732679715392,0.028695504856077008
no_direct_relation,deficiencies,longest_decreasing_run,6,0.06851078371961979,0.0069576097512531925
no_direct_relation,deficiencies,longest_increasing_run,6,0.07678427720990061,0.014324527295723297
no_direct_relation,descents,anti_fixed_points,6,0.059796117502002984,0.02046527230890212
no_direct_relation,descents,components,6,0.03367469035479295,0.00464427221407274
no_direct_relation,descents,deficiencies,6,0.13039934403932768,0.023999721887484126
no_direct_relation,descents,exceedances,6,0.15100120973989403,0.02417813214412676
no_direct_relation,descents,fixed_points,6,0.031788741453688325,0.04187872897874334
no_direct_relation,descents,global_descents,6,0.03748515678229596,0.015611827018975954
no_direct_relation,descents,lds_length,6,0.1928254712361442,0.03304577831021031
no_direct_relation,descents,left_to_right_maxima,6,0.03715358870616888,0.009578444573975983
no_direct_relation,descents,left_to_right_minima,6,0.05806348451965177,0.0211460899361323
no_direct_relation,descents,lis_length,6,0.13335649609222075,0.03297749724648964
no_direct_relation,descents,longest_decreasing_run,6,0.08439401790155728,0.019493063873773725
no_direct_relation,descents,longest_increasing_run,6,0.06201189440124905,0.004836549560163973
no_direct_relation,descents,peaks,6,0.20511241889003826,0.025432225981478852
no_direct_relation,descents,valleys,6,0.17750126130423372,0.023021972336499125
no_direct_relation,exceedances,components,6,0.039706185971682205,0.003179541580714256
no_direct_relation,exceedances,global_descents,6,0.052728895007271674,0.021966187251615577
no_direct_relation,exceedances,lds_length,6,0.1367022302054946,0.009276342857359288
no_direct_relation,exceedances,left_to_right_maxima,6,0.059686490449656626,0.010809639220248241
no_direct_relation,exceedances,left_to_right_minima,6,0.05987685537197629,0.01991574974596279
no_direct_relation,exceedances,lis_length,6,0.195116253541862,0.026358463423237558
no_direct_relation,exceedances,longest_decreasing_run,6,0.0727600108384345,0.005242744835319591
no_direct_relation,exceedances,longest_increasing_run,6,0.08484666290537363,0.005445514682447477
no_direct_relation,fixed_points,components,6,0.08205620417878705,0.02578316591464913
no_direct_relation,fixed_points,deficiencies,6,0.04051622206181569,0.048917685713274726
no_direct_relation,fixed_points,exceedances,6,0.05302663486572539,0.06535071010910173
no_direct_relation,fixed_points,global_descents,6,0.07692394141633539,0.09247452534395946
no_direct_relation,fixed_points,lds_length,6,0.031176706436107166,0.037440618281871105
no_direct_relation,fixed_points,left_to_right_maxima,6,0.034579251342421395,0.04234326036954489
no_direct_relation,fixed_points,left_to_right_minima,6,0.05283736055055075,0.04512622596009141
no_direct_relation,fixed_points,lis_length,6,0.10330332913457389,0.1397904797261096
no_direct_relation,fixed_points,longest_decreasing_run,6,0.03585312643471774,0.04423333664316606
no_direct_relation,fixed_points,longest_increasing_run,6,0.04232237076541914,0.05638692847613849
no_direct_relation,lds_length,components,6,0.03443122719794828,0.005905460056750814
no_direct_relation,lds_length,global_descents,6,0.03373905536567003,0.016165075682306518
no_direct_relation,lds_length,left_to_right_maxima,6,0.035729166774283116,0.007140257015253669
no_direct_relation,lds_length,left_to_right_minima,6,0.06957730385619314,0.017488591574131115
no_direct_relation,lds_length,longest_decreasing_run,6,0.10004066518061362,0.006586645304292534
no_direct_relation,lds_length,longest_increasing_run,6,0.058044899815504286,0.008445767829377428
no_direct_relation,left_to_right_maxima,components,6,0.0190573639805052,0.004535123649828984
no_direct_relation,left_to_right_maxima,global_descents,6,0.16879167281974752,0.009933418769525195
no_direct_relation,left_to_right_minima,components,6,0.11789317737340436,0.0495152492416926
no_direct_relation,left_to_right_minima,global_descents,6,0.06016355087088629,0.0399834397978737
no_direct_relation,lis_length,components,6,0.07978285557404356,0.022547931447536737
no_direct_relation,lis_length,global_descents,6,0.12193403004362517,0.039622143162929474
no_direct_relation,lis_length,left_to_right_maxima,6,0.12642588009036962,0.030454308586834965
no_direct_relation,lis_length,left_to_right_minima,6,0.09493373568800569,0.032094730427516566
no_direct_relation,lis_length,longest_decreasing_run,6,0.09287051895370597,0.022488805979158137
no_direct_relation,lis_length,longest_increasing_run,6,0.23356940980187768,0.07856718631686756
no_direct_relation,longest_decreasing_run,components,6,0.0344773431408599,0.006254471348564993
no_direct_relation,longest_decreasing_run,global_descents,6,0.02733223774571661,0.013084413220460299
no_direct_relation,longest_decreasing_run,left_to_right_maxima,6,0.027828905290629844,0.004881806913918364
