comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
same_task,descents,descents,17,42,False,embedding,0.9578148344944051
same_task,descents,descents,17,42,False,block_01,0.8178686234915968
same_task,descents,descents,17,42,False,block_02,0.7658080856070658
same_task,descents,descents,17,42,False,block_03,0.8097604082112402
same_task,descents,descents,17,42,False,block_04,0.7620232522010821
same_task,descents,descents,17,42,False,final_norm,0.7682236431353973
same_task,descents,descents,17,101,False,embedding,0.9428672144113326
same_task,descents,descents,17,101,False,block_01,0.7982001033074223
same_task,descents,descents,17,101,False,block_02,0.7610431140925494
same_task,descents,descents,17,101,False,block_03,0.8099062396886769
same_task,descents,descents,17,101,False,block_04,0.6956712371319023
same_task,descents,descents,17,101,False,final_norm,0.7189941311901177
same_task,descents,descents,42,101,False,embedding,0.9383085006416682
same_task,descents,descents,42,101,False,block_01,0.7559540305288035
same_task,descents,descents,42,101,False,block_02,0.8887428044780853
same_task,descents,descents,42,101,False,block_03,0.9075573147542263
same_task,descents,descents,42,101,False,block_04,0.7485265253272524
same_task,descents,descents,42,101,False,final_norm,0.7608282853643409
same_task,recoils,recoils,17,42,False,embedding,0.8920424359015807
same_task,recoils,recoils,17,42,False,block_01,0.20813427397820689
same_task,recoils,recoils,17,42,False,block_02,0.3146681932399509
same_task,recoils,recoils,17,42,False,block_03,0.31026278764014065
same_task,recoils,recoils,17,42,False,block_04,0.19346489495168623
same_task,recoils,recoils,17,42,False,final_norm,0.23061056397036833
same_task,recoils,recoils,17,101,False,embedding,0.9229262759808576
same_task,recoils,recoils,17,101,False,block_01,0.522633784227615
same_task,recoils,recoils,17,101,False,block_02,0.4999538345047502
same_task,recoils,recoils,17,101,False,block_03,0.4855720274725885
same_task,recoils,recoils,17,101,False,block_04,0.5166887810300459
same_task,recoils,recoils,17,101,False,final_norm,0.5893581567999009
same_task,recoils,recoils,42,101,False,embedding,0.9048214849686494
same_task,recoils,recoils,42,101,False,block_01,0.42219749620051694
same_task,recoils,recoils,42,101,False,block_02,0.4578519273949064
same_task,recoils,recoils,42,101,False,block_03,0.5729828734989771
same_task,recoils,recoils,42,101,False,block_04,0.2805205333923613
