pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
descent_inverse,descents,recoils,17,identity,identity,embedding,0.9217755322317656
descent_inverse,descents,recoils,17,identity,identity,block_01,0.5740681750835891
descent_inverse,descents,recoils,17,identity,identity,block_02,0.5503488914245278
descent_inverse,descents,recoils,17,identity,identity,block_03,0.442355051439118
descent_inverse,descents,recoils,17,identity,identity,block_04,0.204138817053796
descent_inverse,descents,recoils,17,identity,identity,final_norm,0.20691459568315013
descent_inverse,descents,recoils,17,correct,inverse,embedding,0.9217755322317656
descent_inverse,descents,recoils,17,correct,inverse,block_01,0.5759228086376785
descent_inverse,descents,recoils,17,correct,inverse,block_02,0.5753328359606016
descent_inverse,descents,recoils,17,correct,inverse,block_03,0.49853820604437693
descent_inverse,descents,recoils,17,correct,inverse,block_04,0.5107092811326734
descent_inverse,descents,recoils,17,correct,inverse,final_norm,0.6145560488958179
descent_inverse,descents,recoils,17,wrong,complement,embedding,0.9217755322317656
descent_inverse,descents,recoils,17,wrong,complement,block_01,0.5809168497168062
descent_inverse,descents,recoils,17,wrong,complement,block_02,0.5426953135452001
descent_inverse,descents,recoils,17,wrong,complement,block_03,0.4055618246572311
descent_inverse,descents,recoils,17,wrong,complement,block_04,0.12556452083793196
descent_inverse,descents,recoils,17,wrong,complement,final_norm,0.10613324002807348
descent_inverse,descents,recoils,42,identity,identity,embedding,0.8884250881499729
descent_inverse,descents,recoils,42,identity,identity,block_01,0.5426748620976839
descent_inverse,descents,recoils,42,identity,identity,block_02,0.6150711750070456
descent_inverse,descents,recoils,42,identity,identity,block_03,0.677145890195477
descent_inverse,descents,recoils,42,identity,identity,block_04,0.15367145401282595
descent_inverse,descents,recoils,42,identity,identity,final_norm,0.12306268902352709
descent_inverse,descents,recoils,42,correct,inverse,embedding,0.8884250881499729
descent_inverse,descents,recoils,42,correct,inverse,block_01,0.5293132065661768
descent_inverse,descents,recoils,42,correct,inverse,block_02,0.6332042057030244
descent_inverse,descents,recoils,42,correct,inverse,block_03,0.7164041400229579
descent_inverse,descents,recoils,42,correct,inverse,block_04,0.2507549848305844
descent_inverse,descents,recoils,42,correct,inverse,final_norm,0.2289772365794778
descent_inverse,descents,recoils,42,wrong,complement,embedding,0.8884250881499729
descent_inverse,descents,recoils,42,wrong,complement,block_01,0.5244492049533296
descent_inverse,descents,recoils,42,wrong,complement,block_02,0.5953936035092247
descent_inverse,descents,recoils,42,wrong,complement,block_03,0.6107815558263684
descent_inverse,descents,recoils,42,wrong,complement,block_04,0.09473903357146106
descent_inverse,descents,recoils,42,wrong,complement,final_norm,0.07017028418845189
descent_inverse,descents,recoils,101,identity,identity,embedding,0.9089734936316276
descent_inverse,descents,recoils,101,identity,identity,block_01,0.661049950244104
descent_inverse,descents,recoils,101,identity,identity,block_02,0.5801251572420353
descent_inverse,descents,recoils,101,identity,identity,block_03,0.6027313259726808
descent_inverse,descents,recoils,101,identity,identity,block_04,0.22004636531254668
descent_inverse,descents,recoils,101,identity,identity,final_norm,0.2342892727166387
descent_inverse,descents,recoils,101,correct,inverse,embedding,0.9089734936316276
descent_inverse,descents,recoils,101,correct,inverse,block_01,0.6612759888295853
descent_inverse,descents,recoils,101,correct,inverse,block_02,0.5994090510919144
descent_inverse,descents,recoils,101,correct,inverse,block_03,0.6558379246663154
descent_inverse,descents,recoils,101,correct,inverse,block_04,0.40844695010561727
descent_inverse,descents,recoils,101,correct,inverse,final_norm,0.5219209117119001
descent_inverse,descents,recoils,101,wrong,complement,embedding,0.9089734936316276
descent_inverse,descents,recoils,101,wrong,complement,block_01,0.6559296010762794
descent_inverse,descents,recoils,101,wrong,complement,block_02,0.5566853105781691
descent_inverse,descents,recoils,101,wrong,complement,block_03,0.5005954998240432
descent_inverse,descents,recoils,101,wrong,complement,block_04,0.12474202863367394
