comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,embedding,4096,0.9188751502170438
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_01,4096,0.5682362106507033
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_02,4096,0.5487219766962057
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_03,4096,0.4503694673073204
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_04,4096,0.2182371320340894
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,final_norm,4096,0.22384582077792706
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,embedding,4096,0.9120464257655171
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_01,4096,0.2031266829241979
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_02,4096,0.2667386357250601
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_03,4096,0.2997893374878778
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_04,4096,0.3309795702968766
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,final_norm,4096,0.3303524888153667
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,embedding,4096,0.8617488726056501
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_01,4096,0.2330191853697841
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_02,4096,0.3195422956580178
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_03,4096,0.30999865158325846
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_04,4096,0.33388153063144693
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,final_norm,4096,0.3192263593511833
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,embedding,4096,0.9041670902261312
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,block_01,4096,0.7831327531232918
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,block_02,4096,0.7961759820516295
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,block_03,4096,0.7963956460904299
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,block_04,4096,0.7535606375112988
disjoint_pools_equal_k,transformer,a,8,property-a-transformer-tasks08-seed17,b,8,property-b-transformer-tasks08-seed17,final_norm,4096,0.8033356166098011
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,embedding,4096,0.8617751460380007
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,block_01,4096,0.5132920107907999
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,block_02,4096,0.4917000090530844
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,block_03,4096,0.4490523017223025
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,block_04,4096,0.35679768113186977
disjoint_pools_equal_k,transformer,a,16,property-a-transformer-tasks16-seed17,b,16,property-b-transformer-tasks16-seed17,final_norm,4096,0.4327955508771078
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.6422088991665076
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.4859799277831482
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.4766691545354609
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.38196657374505366
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.13443220406258866
within_pool_k16_alignment,transformer,a,1,property-a-transformer-tasks01-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.12648619792122867
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.6852774271529825
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.17277001785830687
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.28608523033186534
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.311362351745741
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.18009644605160352
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.23008568241720123
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.8454584932967202
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.3080071044235438
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.37360298470464626
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.3376488306663874
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.30676499935166035
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.4007197515433832
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.8653076148415151
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.4834125553298685
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.4303832344427778
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.4136450579785851
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.3605354502702713
