run_id,initialization,replicate_id,model_pool,base_run_id,base_trained_task_count,seed,task,target_family,shots,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,zero_shot_loss,zero_shot_token_accuracy,zero_shot_sequence_accuracy,loss_improvement_from_zero_shot,token_accuracy_improvement_from_zero_shot,sequence_accuracy_improvement_from_zero_shot,loss_improvement_over_random,token_accuracy_improvement_over_random,sequence_accuracy_improvement_over_random,checkpoint_sha256,fewshot_config_sha256,support_artifact_sha256,test_manifest_sha256,test_source_shard_sha256,evaluator_commit
pretrained-property-a-transformer-tasks01-seed17-recoils,pretrained,r0,a,property-a-transformer-tasks01-seed17,1,17,recoils,local,20,property_source_shard_199,2500,5000,4.096352282714844,0.6938,0.3876,5.213303213500977,0.6936,0.3872,1.1169509307861327,0.00019999999999997797,0.00040000000000001146,-1.7550838684082035,0.1008,0.1856,3653d8eae3b15c6e4dec789c41113da6890ada5433a7a5004ee852e082c22999,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks01-seed17-anti_fixed_points,pretrained,r0,a,property-a-transformer-tasks01-seed17,1,17,anti_fixed_points,positional,20,property_source_shard_199,2500,5000,5.405961975097656,0.53,0.072,9.433439361572265,0.485,0.062,4.027477386474609,0.04500000000000004,0.009999999999999995,-3.745778533935547,-0.134,-0.256,94ddf144761d7e40162f84991fb9abd0e5a2592c50e3a447a9591644e01917c8,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks01-seed17-two_cycle_count,pretrained,r0,a,property-a-transformer-tasks01-seed17,1,17,two_cycle_count,cycle,20,property_source_shard_199,2500,5000,3.887073207092285,0.5602,0.1204,9.968363275146485,0.4616,0.0612,6.0812900680542,0.09860000000000002,0.059199999999999996,-2.440848402404785,-0.2116,-0.44839999999999997,2e3f4979c845cd5f72a9462ade494277ee164277bfeda4e1807d9b736efa8ea5,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks01-seed17-lds_length,pretrained,r0,a,property-a-transformer-tasks01-seed17,1,17,lds_length,global_run,20,property_source_shard_199,2500,5000,3.81594990234375,0.6138,0.2276,7.688574548339844,0.5756,0.1512,3.8726246459960936,0.03820000000000001,0.0764,-1.5068082092285158,-0.021599999999999953,-0.04319999999999999,df27b6df27d255cafe2cf35d3372341894e0286647f16892763bb051698a3df4,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks02-seed17-recoils,pretrained,r0,a,property-a-transformer-tasks02-seed17,2,17,recoils,local,20,property_source_shard_199,2500,5000,1.6010737533569337,0.6864,0.3728,1.8026542644500732,0.6946,0.3892,0.20158051109313946,-0.008199999999999985,-0.01639999999999997,0.7401946609497068,0.09340000000000004,0.1708,cc251fb4ddffe421ddb22b0aab72ce1246dcf3ef39386764cc44a8cada716cda,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks02-seed17-anti_fixed_points,pretrained,r0,a,property-a-transformer-tasks02-seed17,2,17,anti_fixed_points,positional,20,property_source_shard_199,2500,5000,2.932842770767212,0.5374,0.0748,5.030998645019531,0.5306,0.0612,2.0981558742523196,0.006800000000000028,0.013600000000000008,-1.2726593296051023,-0.12660000000000005,-0.2532,72108b2de613e29fe3cc073584a4bf7ccb5faa122d3337d2e9916e96fbf2a0bd,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks02-seed17-two_cycle_count,pretrained,r0,a,property-a-transformer-tasks02-seed17,2,17,two_cycle_count,cycle,20,property_source_shard_199,2500,5000,2.0084413845062254,0.6424,0.2848,5.170197747802734,0.5306,0.0612,3.161756363296509,0.11180000000000001,0.2236,-0.5622165798187255,-0.12940000000000007,-0.284,bfbb6df5f8f8932edd286f29ac511f2e2eea8cf0c333bd4b1403045c63ecfddd,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks02-seed17-lds_length,pretrained,r0,a,property-a-transformer-tasks02-seed17,2,17,lds_length,global_run,20,property_source_shard_199,2500,5000,1.7219002197265625,0.6254,0.2508,3.7598244079589844,0.5754,0.1508,2.037924188232422,0.04999999999999993,0.10000000000000003,0.5872414733886719,-0.010000000000000009,-0.019999999999999962,dc59d6ec851fa503ee66dac952897f7b70273c4b03308034144d60689c36fcbf,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks04-seed17-recoils,pretrained,r0,a,property-a-transformer-tasks04-seed17,4,17,recoils,local,20,property_source_shard_199,2500,5000,1.373508702659607,0.6418,0.2836,2.8413878952026366,0.5716,0.1432,1.4678791925430297,0.07020000000000004,0.14040000000000002,0.9677597116470336,0.048800000000000066,0.0816,8cdf0ca9f30a2712453cdd98f49cdd370735371b05ba9f9d58d3265c1ebd2700,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
pretrained-property-a-transformer-tasks04-seed17-anti_fixed_points,pretrained,r0,a,property-a-transformer-tasks04-seed17,4,17,anti_fixed_points,positional,20,property_source_shard_199,2500,5000,3.0010067962646483,0.6108,0.2216,3.752125158691406,0.5828,0.1656,0.7511183624267579,0.028000000000000025,0.055999999999999994,-1.3408233551025388,-0.053200000000000025,-0.10640000000000002,5b55fe699c33edca08ce1f83fcb8090d06d2e78df7b15bbc1ba21da8eedac717,764c23fbcb553a3b809181e86d6aa3df0813c84df968990c56a73cd794f55882,dbda450579b8c70a4b4ee3ae012117c710a3c973008ac0ee9b44a5501aaac5dc,257ff2ea900b90cd6f1edf3c9f0fcea5d2891c746c94440d744f6968dd817979,52a544f29742e08ab83038c7611ba7f6356f8a9b6e6e34a88b0d1e1ff762f8ee,f0cab1230496b6acde20f9e329455b99f07f82f0
