replicate_id,model_seed,base_trained_task_count,pool_direction_count,target_count,loss,token_accuracy,sequence_accuracy,loss_improvement_from_zero_shot,token_accuracy_improvement_from_zero_shot,sequence_accuracy_improvement_from_zero_shot,loss_improvement_over_random,token_accuracy_improvement_over_random,sequence_accuracy_improvement_over_random
r0,17,1,2,8,3.978062774372101,0.5875250000000001,0.17930000000000001,2.398755821895599,0.039650000000000026,0.04744999999999999,-1.963435634326935,-0.05829999999999999,-0.12025
r0,17,2,2,8,2.1376329610824585,0.6054999999999999,0.21100000000000002,1.5338381974220274,0.035174999999999984,0.07035000000000001,-0.12300582103729243,-0.04032500000000003,-0.08854999999999999
r0,17,4,2,8,1.679826883494854,0.63315,0.2663,1.7373584176182746,0.078325,0.15665,0.3348002565503121,-0.01267500000000002,-0.03324999999999999
r0,17,8,2,8,1.2782242104053498,0.6491750000000001,0.29835,1.7960640308380125,0.08787500000000002,0.17575000000000002,0.7364029296398162,0.0033500000000000058,-0.0011999999999999962
r0,17,16,2,8,1.1401773900151253,0.6482,0.2964,1.1961485575079918,0.05965000000000001,0.11930000000000002,0.8744497500300408,0.0023749999999999744,-0.003149999999999993
r1,42,1,2,8,2.5871521473526955,0.586275,0.18334999999999999,0.9783760257244108,0.029075000000000004,0.05409999999999999,-0.8509882828354837,-0.10667499999999999,-0.20385
r1,42,2,2,8,3.1059770337283608,0.5895999999999999,0.1804,1.2477920460999012,0.01697499999999999,0.034050000000000004,-1.3698131692111493,-0.10335,-0.2068
r1,42,4,2,8,1.6656693556845188,0.62995,0.2599,1.9793443074166774,0.06164999999999997,0.12329999999999999,0.07049450883269304,-0.06300000000000001,-0.12730000000000002
r1,42,8,2,8,1.1007814974069596,0.6838,0.36760000000000004,1.2134861263990402,0.09450000000000003,0.189,0.6353823671102523,-0.009149999999999978,-0.019600000000000013
r1,42,16,2,8,0.8779360864639283,0.683625,0.36725,1.0079824191093445,0.11722500000000002,0.23445,0.8582277780532837,-0.009324999999999972,-0.019950000000000016
r2,101,1,2,8,4.449770202875137,0.5545,0.1364,1.8962653122901916,0.020775000000000016,0.0028999999999999994,-2.5407547785282136,-0.11427499999999996,-0.20535
r2,101,2,2,8,2.9101403654336933,0.61555,0.23225,2.5414242546319956,0.047450000000000006,0.09469999999999999,-1.0011249410867693,-0.05322499999999998,-0.10950000000000001
r2,101,4,2,8,2.050822167825699,0.6182,0.24545,2.2592228577136995,0.071,0.1447,-0.14180674347877506,-0.050574999999999995,-0.0963
r2,101,8,2,8,2.028889146772027,0.622775,0.2872,1.3715989575713872,0.07297500000000001,0.1457,-0.11987372242510325,-0.04599999999999998,-0.05455000000000001
r2,101,16,2,8,1.4067131751954556,0.67195,0.3439,1.5590318267166614,0.0901,0.1802,0.5023022491514683,0.003175000000000025,0.0021499999999999905
