model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,task_status,layer,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
random,random,random,random-transformer-seed101,101,0,random_baseline,block_01,32,0.09801112364513985,0.28273173671850993,0.9722819781248282,0.4310455322265625,0.42256927490234375,0.00847625732421875
random,random,random,random-transformer-seed101,101,0,random_baseline,block_02,32,0.19948122095400728,0.3879628139095452,0.9107552099131145,0.454681396484375,0.42256927490234375,0.03211212158203125
random,random,random,random-transformer-seed101,101,0,random_baseline,block_03,32,0.20943968220122547,0.3946295715115565,0.9036404524947281,0.46028900146484375,0.42256927490234375,0.0377197265625
random,random,random,random-transformer-seed101,101,0,random_baseline,block_04,32,0.21148905104403104,0.39767759665930524,0.9023980661618557,0.46170806884765625,0.42256927490234375,0.0391387939453125
random,random,random,random-transformer-seed101,101,0,random_baseline,embedding,32,0.0,-0.001649372153138827,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
random,random,random,random-transformer-seed101,101,0,random_baseline,final_norm,32,0.21207912108842147,0.39894134537279513,0.9020636844120794,0.4615631103515625,0.42256927490234375,0.03899383544921875
random,random,random,random-transformer-seed17,17,0,random_baseline,block_01,32,0.11771691706130812,0.3191183711463692,0.9615161674667054,0.43817138671875,0.42256927490234375,0.01560211181640625
random,random,random,random-transformer-seed17,17,0,random_baseline,block_02,32,0.208762583156771,0.40745878540185404,0.9053822271171358,0.462066650390625,0.42256927490234375,0.03949737548828125
random,random,random,random-transformer-seed17,17,0,random_baseline,block_03,32,0.21593312339428825,0.4105845880078178,0.9000802924215014,0.463714599609375,0.42256927490234375,0.04114532470703125
random,random,random,random-transformer-seed17,17,0,random_baseline,block_04,32,0.21768966010752783,0.41033918994854607,0.8983857365254767,0.4649505615234375,0.42256927490234375,0.04238128662109375
random,random,random,random-transformer-seed17,17,0,random_baseline,embedding,32,-6.938893903907228e-18,-0.001753595293882469,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
random,random,random,random-transformer-seed17,17,0,random_baseline,final_norm,32,0.21544704388555386,0.40760930615355745,0.899784532120336,0.46338653564453125,0.42256927490234375,0.0408172607421875
random,random,random,random-transformer-seed42,42,0,random_baseline,block_01,32,0.12424116830131557,0.31865536472585426,0.9573557881095288,0.44188690185546875,0.42256927490234375,0.019317626953125
random,random,random,random-transformer-seed42,42,0,random_baseline,block_02,32,0.2040469235541965,0.3976094706340025,0.9083722967856173,0.46089935302734375,0.42256927490234375,0.038330078125
random,random,random,random-transformer-seed42,42,0,random_baseline,block_03,32,0.21552975695120818,0.4072541230689244,0.900491885428744,0.46186065673828125,0.42256927490234375,0.0392913818359375
random,random,random,random-transformer-seed42,42,0,random_baseline,block_04,32,0.21745160838352667,0.40939454898998656,0.899147335576604,0.4628753662109375,0.42256927490234375,0.04030609130859375
random,random,random,random-transformer-seed42,42,0,random_baseline,embedding,32,6.938893903907228e-18,-0.001718098710130464,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
random,random,random,random-transformer-seed42,42,0,random_baseline,final_norm,32,0.21677444696997808,0.4087153568171453,0.8995885631432669,0.46295928955078125,0.42256927490234375,0.0403900146484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,block_01,16,0.17330340036023842,0.38166222215845785,0.9206928843909062,0.4517364501953125,0.4301300048828125,0.0216064453125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,block_02,16,0.3230798254184112,0.5358580720507232,0.8266829449169214,0.49542236328125,0.4301300048828125,0.0652923583984375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,block_03,16,0.3280087941805688,0.5401126612515009,0.822919064471772,0.4955291748046875,0.4301300048828125,0.065399169921875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,block_04,16,0.3040209491065512,0.5168655649062294,0.8379792353240836,0.4858856201171875,0.4301300048828125,0.055755615234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,embedding,16,0.0,-0.0005272735258397021,1.0166853004273697,0.384796142578125,0.4301300048828125,-0.0453338623046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,opposite_pool,final_norm,16,0.3027660474325058,0.5158430681142918,0.8387361497010405,0.4844970703125,0.4301300048828125,0.0543670654296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,block_01,15,0.2080180555919876,0.42622678124079694,0.9145341378030273,0.4662272135416667,0.4195149739583333,0.046712239583333336
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,block_02,15,0.3438706292431239,0.5541465094277398,0.827332366660893,0.5093098958333333,0.4195149739583333,0.089794921875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,block_03,15,0.3499980927803714,0.560208064131436,0.8233119498920819,0.5115071614583333,0.4195149739583333,0.0919921875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,block_04,15,0.3302167855968268,0.541792981160759,0.8363537867082959,0.5043619791666667,0.4195149739583333,0.08484700520833334
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,embedding,15,2.960594732333751e-17,-0.001736845304813058,1.032767159279432,0.39305013020833335,0.4195149739583333,-0.02646484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,same_pool_untrained,final_norm,15,0.32840262380800134,0.5383513429125366,0.837564190191383,0.5013671875,0.4195149739583333,0.08185221354166666
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,block_01,1,0.11305492066120137,0.33680056987242896,0.9848868680884744,0.395263671875,0.347412109375,0.0478515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,block_02,1,0.9907882599077038,0.9953966382461017,0.10037113160207879,0.9951171875,0.347412109375,0.647705078125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,block_03,1,0.9960588060420504,0.9980314627572312,0.06565259347343153,0.998779296875,0.347412109375,0.6513671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,block_04,1,0.9949748343433877,0.9974996066546805,0.07413327288085607,0.998046875,0.347412109375,0.650634765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,embedding,1,0.0,0.0,1.04577434270258,0.3447265625,0.347412109375,-0.002685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,trained,final_norm,1,0.9938758520785423,0.9969378216237538,0.08183909506798787,0.997314453125,0.347412109375,0.64990234375
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,block_01,16,0.15563556543010332,0.35762509702228923,0.9302617903956016,0.4558868408203125,0.4301300048828125,0.0257568359375
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,block_02,16,0.27697137557805845,0.49873328066831535,0.8577602020467828,0.4863433837890625,0.4301300048828125,0.05621337890625
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,block_03,16,0.29145772303650547,0.5114640008700797,0.8481840931968405,0.4896087646484375,0.4301300048828125,0.059478759765625
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,block_04,16,0.29027179464277514,0.5081375713460896,0.8483314754032241,0.490142822265625,0.4301300048828125,0.0600128173828125
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,embedding,16,1.3877787807814457e-17,-0.00019665014818538555,1.0166853004273695,0.384796142578125,0.4301300048828125,-0.0453338623046875
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,opposite_pool,final_norm,16,0.2860355754612626,0.5023585172530077,0.8509518358109347,0.4885101318359375,0.4301300048828125,0.058380126953125
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,block_01,14,0.18528913243873202,0.39532752466687177,0.9284334447757853,0.4570835658482143,0.42257254464285715,0.034511021205357144
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,block_02,14,0.3029416112132664,0.5213134594943286,0.8564836334311251,0.4924839564732143,0.42257254464285715,0.06991141183035714
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,block_03,14,0.32838056807186566,0.545371321383399,0.840145896586668,0.4996861049107143,0.42257254464285715,0.07711356026785714
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,block_04,14,0.32995006435485497,0.5491980735592883,0.8391881249429439,0.49647739955357145,0.42257254464285715,0.07390485491071429
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,embedding,14,0.0,-0.0016899865822608967,1.032492117642578,0.3965541294642857,0.42257254464285715,-0.026018415178571428
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,same_pool_untrained,final_norm,14,0.32534749776636396,0.5447997668695826,0.8422232773831925,0.49434988839285715,0.42257254464285715,0.07177734375
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,block_01,2,0.4277467313365263,0.6010769477309056,0.7565882729944107,0.57373046875,0.362060546875,0.211669921875
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,block_02,2,0.8608817463652856,0.9270303441252057,0.3739546074513851,0.84033203125,0.362060546875,0.478271484375
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,block_03,2,0.8969887687410898,0.9468693125536443,0.32810274661223976,0.8687744140625,0.362060546875,0.5067138671875
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,block_04,2,0.8978660080919791,0.9473508679988458,0.3269727019794704,0.8701171875,0.362060546875,0.508056640625
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,embedding,2,0.0,0.0,1.0411960424489832,0.3443603515625,0.362060546875,-0.0177001953125
trained,r0,a,property-a-transformer-tasks02-seed17,17,2,trained,final_norm,2,0.8912651745762716,0.9439142402366351,0.3393216848899858,0.8624267578125,0.362060546875,0.5003662109375
trained,r0,a,property-a-transformer-tasks04-seed17,17,4,opposite_pool,block_01,16,0.1888655229745802,0.40926392106080556,0.9120654482912812,0.466339111328125,0.4301300048828125,0.0362091064453125
trained,r0,a,property-a-transformer-tasks04-seed17,17,4,opposite_pool,block_02,16,0.2562051464733447,0.4785712726649989,0.8697270324264779,0.481170654296875,0.4301300048828125,0.0510406494140625
trained,r0,a,property-a-transformer-tasks04-seed17,17,4,opposite_pool,block_03,16,0.277447529217114,0.4950657669066494,0.8543785303990741,0.4883270263671875,0.4301300048828125,0.058197021484375
