model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,trained_tasks,probe_task,probe_task_family,task_status,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,descents,local,trained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.04577434270258,0.3447265625,0.347412109375,-0.002685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,recoils,local,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0441048637352013,0.34619140625,0.339599609375,0.006591796875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,peaks,local,same_pool_untrained,embedding,0.1,0.0,3072,1024,4096,0.0,-0.041703255660421525,0.9860661199086965,0.48291015625,0.479248046875,0.003662109375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,valleys,local,opposite_pool,embedding,1.0,1.1102230246251565e-16,3072,1024,4096,0.0,0.0,0.9887353136069112,0.47314453125,0.45458984375,0.0185546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_ascents,local,same_pool_untrained,embedding,10.0,0.0,3072,1024,4096,-2.220446049250313e-16,0.0,1.0130612515181001,0.350830078125,0.352783203125,-0.001953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_descents,local,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0213311512617704,0.3544921875,0.34716796875,0.00732421875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,successions,local,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0228428863987962,0.37060546875,0.3974609375,-0.02685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,adjacencies,local,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,0.9727254563915083,0.36083984375,0.33349609375,0.02734375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,fixed_points,positional,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0366177421953866,0.343994140625,0.376708984375,-0.03271484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,anti_fixed_points,positional,opposite_pool,embedding,10.0,0.0,3072,1024,4096,0.0,0.0,1.000020463949058,0.357666015625,0.37548828125,-0.017822265625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,exceedances,positional,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0345799929961021,1.023562460676859,0.339111328125,0.338134765625,0.0009765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,deficiencies,positional,opposite_pool,embedding,1.0,2.220446049250313e-16,3072,1024,4096,0.0,0.0,1.022005998948411,0.351806640625,0.332275390625,0.01953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_maxima,positional,same_pool_untrained,embedding,1.0,0.0,3072,1024,4096,2.220446049250313e-16,0.0,1.0054400832102135,0.322265625,0.319580078125,0.002685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_minima,positional,opposite_pool,embedding,10.0,2.220446049250313e-16,3072,1024,4096,0.0,0.0,1.0308428448049272,0.30615234375,0.305908203125,0.000244140625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_maxima,positional,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.024598237705974,0.301025390625,0.31298828125,-0.011962890625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_minima,positional,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0219388174861574,0.30517578125,0.308349609375,-0.003173828125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,cycle_count,cycle,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.01578650486301,0.313720703125,0.302734375,0.010986328125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,two_cycle_count,cycle,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0245057414085201,0.468017578125,0.595947265625,-0.1279296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,three_cycle_count,cycle,same_pool_untrained,embedding,10.0,0.0,3072,1024,4096,0.0,0.0,0.9646832477840659,0.7275390625,0.7275390625,0.0
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,even_cycle_count,cycle,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0071602164583788,0.396484375,0.406494140625,-0.010009765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,odd_cycle_count,cycle,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,4.440892098500626e-16,0.0,1.0286388052747035,0.282470703125,0.569091796875,-0.28662109375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_cycle,cycle,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0145935070056513,0.15771484375,0.15869140625,-0.0009765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,shortest_cycle,cycle,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.022663092300013,0.1044921875,0.617431640625,-0.512939453125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,nontrivial_cycle_count,cycle,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0236583083546795,0.43115234375,0.439208984375,-0.008056640625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lis_length,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.004626422015392425,1.0408273734047722,0.391845703125,0.38623046875,0.005615234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lds_length,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,-0.008436376413435233,1.0382167181433188,0.398681640625,0.40380859375,-0.005126953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_increasing_run,global_run,same_pool_untrained,embedding,1e-06,2.220446049250313e-16,3072,1024,4096,0.0,0.0,1.056409122114062,0.482666015625,0.505126953125,-0.0224609375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_decreasing_run,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,2.220446049250313e-16,0.0,1.0370608767512652,0.479248046875,0.50390625,-0.024658203125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,global_descents,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.249772510335538,0.78271484375,0.8095703125,-0.02685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,components,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,-2.220446049250313e-16,0.0,1.0068669210510999,0.77099609375,0.812255859375,-0.041259765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,max_displacement,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,-0.02355583892326887,1.0086075367956526,0.246337890625,0.2568359375,-0.010498046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,displacement_one_count,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0051280221866934,0.252197265625,0.30615234375,-0.053955078125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,descents,local,trained,block_01,0.001,0.10455701620750935,3072,1024,4096,0.11305492066120137,0.33680056987242896,0.9848868680884744,0.395263671875,0.347412109375,0.0478515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,recoils,local,opposite_pool,block_01,0.001,0.06435550216006802,3072,1024,4096,0.09157179214748357,0.3044436418346068,0.9951520097336194,0.39697265625,0.339599609375,0.057373046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,peaks,local,same_pool_untrained,block_01,1e-05,0.11052944020990074,3072,1024,4096,0.0989146346198373,0.32088309075596366,0.936028355849122,0.50732421875,0.479248046875,0.028076171875
