trained_task_count,layer,replicate_count,length_conditioned_r2_mean,length_conditioned_r2_sample_sd,pearson_r_mean,pearson_r_sample_sd,normalized_rmse_mean,normalized_rmse_sample_sd,exact_accuracy_mean,exact_accuracy_sample_sd,length_mode_baseline_accuracy_mean,length_mode_baseline_accuracy_sample_sd,exact_accuracy_minus_baseline_mean,exact_accuracy_minus_baseline_sample_sd
1,embedding,3,-4.625929269271485e-18,4.006172263299091e-18,-0.0006122507154823165,0.0005267052683836865,1.0251327043353742,0.0,0.38730112711588544,0.00019381265140032603,0.42256927490234375,0.0,-0.035268147786458336,0.00019381265140032603
1,block_01,3,0.13633424465729474,0.04076658855646071,0.3290768627198266,0.05832130015730114,0.9495986187257449,0.024139455690405532,0.439544677734375,0.01761225691382494,0.42256927490234375,0.0,0.01697540283203125,0.01761225691382494
1,block_02,3,0.20283567559169893,0.08529764028838294,0.4089800093485507,0.09797417515465864,0.909139016674167,0.05214514801405612,0.4565022786458333,0.03160110073278773,0.42256927490234375,0.0,0.033933003743489586,0.03160110073278773
1,block_03,3,0.20938449604230247,0.08395296858935285,0.4163197907107851,0.09377651200909726,0.904865118445743,0.051945754262092025,0.45897165934244794,0.03131730715202572,0.42256927490234375,0.0,0.036402384440104164,0.03131730715202572
1,block_04,3,0.19854249091967646,0.07572223407756894,0.4052809670975099,0.08651236976160348,0.9117640962534624,0.046590039745316954,0.45507049560546875,0.02725072346255193,0.42256927490234375,0.0,0.032501220703125,0.02725072346255193
1,final_norm,3,0.19780080887951138,0.07704262228167182,0.4053880837639638,0.08814827845199175,0.9122323899390757,0.047408056655356974,0.4549001057942708,0.02751927613304132,0.42256927490234375,0.0,0.032330830891927086,0.02751927613304132
2,embedding,3,-4.625929269271485e-18,8.012344526598183e-18,-0.0006466728483708271,0.00032549279562835,1.0251327043353742,0.0,0.38741302490234375,0.0,0.42256927490234375,0.0,-0.03515625,0.0
2,block_01,3,0.16893921367512024,0.02868319612888258,0.3776327660804586,0.03042129246791265,0.9307662111831402,0.01764444475243763,0.45378875732421875,0.00995725430384287,0.42256927490234375,0.0,0.031219482421875,0.00995725430384287
2,block_02,3,0.2492089442077714,0.04689007024517494,0.4659853321880079,0.04310269732243227,0.881247707389251,0.03052315876500072,0.47644297281901044,0.01607566534491911,0.42256927490234375,0.0,0.053873697916666664,0.01607566534491911
2,block_03,3,0.2550337364987348,0.042854797398073984,0.4737832199000282,0.03742621264008009,0.8776994257964468,0.028432268209259693,0.4771270751953125,0.01432969892740236,0.42256927490234375,0.0,0.05455780029296875,0.01432969892740236
2,block_04,3,0.249702177086248,0.0370708045179528,0.46933983269085394,0.03047286079188772,0.8811148782126806,0.024819120641817564,0.4761403401692708,0.01276725397116219,0.42256927490234375,0.0,0.053571065266927086,0.01276725397116219
2,final_norm,3,0.24467244281373368,0.03433173389750869,0.4635281000597713,0.026887257972702028,0.884240259590661,0.023085134550608274,0.47349802652994794,0.011738835281768258,0.42256927490234375,0.0,0.050928751627604164,0.011738835281768258
4,embedding,3,0.0,6.938893903907228e-18,-0.0008433880210001894,0.0005965827290972903,1.0251327043353742,0.0,0.38741302490234375,0.0,0.42256927490234375,0.0,-0.03515625,0.0
4,block_01,3,0.1999149986019891,0.014205774595914916,0.42092859248859776,0.009228983317756009,0.912397647078512,0.009860622298673476,0.46285247802734375,0.006045851104506681,0.42256927490234375,0.0,0.040283203125,0.006045851104506681
4,block_02,3,0.2715450053212349,0.002071454374608449,0.49244465322976594,0.004816381948081678,0.8671658259918787,0.0035899873376519288,0.48280080159505206,0.0034010359861780175,0.42256927490234375,0.0,0.060231526692708336,0.0034010359861780175
4,block_03,3,0.2851449869741552,0.007680054672756172,0.5043646150266275,0.012117981705205814,0.8576616912294323,0.003449166601947702,0.488250732421875,0.0021449184858496487,0.42256927490234375,0.0,0.06568145751953125,0.0021449184858496487
4,block_04,3,0.2828088760111037,0.010958922297386898,0.5024346953534654,0.013838376123574178,0.859366354495327,0.006516176861767998,0.48547617594401044,0.0039217190618086924,0.42256927490234375,0.0,0.06290690104166667,0.0039217190618086924
4,final_norm,3,0.2706210300994371,0.015428436666644884,0.489364826959321,0.020188215785199883,0.8671640059824526,0.00918953763923929,0.48144276936848956,0.006701116302416942,0.42256927490234375,0.0,0.058873494466145836,0.006701116302416942
