pool,trained_task_count,run_id,architecture,seed,task,task_family,task_status,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,majority_baseline_sequence_accuracy,sequence_accuracy_minus_majority
A,1,property-a-transformer-tasks01-seed42,transformer,42,descents,local,same_pool_unseen,validation,160,320,4.8456292152404785,0.534375,0.1,0.09375,0.0062500000000000056
A,1,property-a-transformer-tasks01-seed42,transformer,42,recoils,local,opposite_pool,validation,160,320,4.561617374420166,0.54375,0.125,0.10625,0.018750000000000003
A,1,property-a-transformer-tasks01-seed42,transformer,42,peaks,local,seen,validation,160,320,0.2791000545024872,0.878125,0.75625,0.1125,0.6437499999999999
A,1,property-a-transformer-tasks01-seed42,transformer,42,valleys,local,same_pool_unseen,validation,160,320,1.183833074569702,0.7125,0.425,0.1375,0.2875
A,1,property-a-transformer-tasks01-seed42,transformer,42,double_ascents,local,opposite_pool,validation,160,320,3.762789821624756,0.590625,0.18125,0.2,-0.018750000000000017
A,1,property-a-transformer-tasks01-seed42,transformer,42,double_descents,local,same_pool_unseen,validation,160,320,4.179961824417115,0.56875,0.1375,0.23125,-0.09375
A,1,property-a-transformer-tasks01-seed42,transformer,42,successions,local,opposite_pool,validation,160,320,5.424113655090332,0.525,0.06875,0.4,-0.33125000000000004
A,1,property-a-transformer-tasks01-seed42,transformer,42,adjacencies,local,opposite_pool,validation,160,320,4.674290180206299,0.5375,0.1125,0.325,-0.21250000000000002
A,1,property-a-transformer-tasks01-seed42,transformer,42,fixed_points,positional,same_pool_unseen,validation,160,320,5.529375171661377,0.540625,0.0875,0.44375,-0.35624999999999996
A,1,property-a-transformer-tasks01-seed42,transformer,42,anti_fixed_points,positional,same_pool_unseen,validation,160,320,5.261269474029541,0.559375,0.1375,0.4375,-0.3
A,1,property-a-transformer-tasks01-seed42,transformer,42,exceedances,positional,opposite_pool,validation,160,320,4.675881099700928,0.521875,0.08125,0.09375,-0.012499999999999997
A,1,property-a-transformer-tasks01-seed42,transformer,42,deficiencies,positional,opposite_pool,validation,160,320,4.695187377929687,0.559375,0.1375,0.1,0.037500000000000006
A,1,property-a-transformer-tasks01-seed42,transformer,42,left_to_right_maxima,positional,same_pool_unseen,validation,160,320,4.03916563987732,0.55625,0.14375,0.28125,-0.1375
A,1,property-a-transformer-tasks01-seed42,transformer,42,left_to_right_minima,positional,same_pool_unseen,validation,160,320,4.236287546157837,0.53125,0.125,0.26875,-0.14375
A,1,property-a-transformer-tasks01-seed42,transformer,42,right_to_left_maxima,positional,opposite_pool,validation,160,320,4.276169013977051,0.5375,0.10625,0.35625,-0.25
A,1,property-a-transformer-tasks01-seed42,transformer,42,right_to_left_minima,positional,opposite_pool,validation,160,320,3.8630138397216798,0.553125,0.125,0.24375,-0.11875
A,1,property-a-transformer-tasks01-seed42,transformer,42,cycle_count,cycle,same_pool_unseen,validation,160,320,3.738701343536377,0.5625,0.1625,0.2625,-0.1
A,1,property-a-transformer-tasks01-seed42,transformer,42,two_cycle_count,cycle,opposite_pool,validation,160,320,5.577360820770264,0.553125,0.1375,0.675,-0.5375000000000001
A,1,property-a-transformer-tasks01-seed42,transformer,42,three_cycle_count,cycle,opposite_pool,validation,160,320,5.940983676910401,0.540625,0.08125,0.71875,-0.6375
A,1,property-a-transformer-tasks01-seed42,transformer,42,even_cycle_count,cycle,same_pool_unseen,validation,160,320,4.977026653289795,0.553125,0.1125,0.375,-0.2625
A,1,property-a-transformer-tasks01-seed42,transformer,42,odd_cycle_count,cycle,opposite_pool,validation,160,320,4.474132251739502,0.55,0.125,0.325,-0.2
A,1,property-a-transformer-tasks01-seed42,transformer,42,longest_cycle,cycle,same_pool_unseen,validation,160,320,6.676720523834229,0.403125,0.03125,0.0875,-0.056249999999999994
A,1,property-a-transformer-tasks01-seed42,transformer,42,shortest_cycle,cycle,opposite_pool,validation,160,320,5.172766590118409,0.515625,0.10625,0.6125,-0.5062500000000001
A,1,property-a-transformer-tasks01-seed42,transformer,42,nontrivial_cycle_count,cycle,same_pool_unseen,validation,160,320,4.287172126770019,0.5625,0.14375,0.35625,-0.21250000000000002
A,1,property-a-transformer-tasks01-seed42,transformer,42,lis_length,global_run,opposite_pool,validation,160,320,3.177228403091431,0.546875,0.1375,0.2,-0.0625
A,1,property-a-transformer-tasks01-seed42,transformer,42,lds_length,global_run,same_pool_unseen,validation,160,320,2.971462774276733,0.575,0.2,0.175,0.025000000000000022
A,1,property-a-transformer-tasks01-seed42,transformer,42,longest_increasing_run,global_run,same_pool_unseen,validation,160,320,4.26774492263794,0.54375,0.11875,0.44375,-0.32499999999999996
A,1,property-a-transformer-tasks01-seed42,transformer,42,longest_decreasing_run,global_run,same_pool_unseen,validation,160,320,4.169397449493408,0.55,0.1375,0.4375,-0.3
A,1,property-a-transformer-tasks01-seed42,transformer,42,global_descents,global_run,opposite_pool,validation,160,320,5.899781131744385,0.553125,0.125,0.8375,-0.7125
A,1,property-a-transformer-tasks01-seed42,transformer,42,components,global_run,same_pool_unseen,validation,160,320,5.0456890106201175,0.546875,0.1125,0.79375,-0.6812499999999999
A,1,property-a-transformer-tasks01-seed42,transformer,42,max_displacement,global_run,opposite_pool,validation,160,320,8.02175531387329,0.31875,0.03125,0.075,-0.04375
A,1,property-a-transformer-tasks01-seed42,transformer,42,displacement_one_count,global_run,opposite_pool,validation,160,320,4.610140991210938,0.55,0.1125,0.3,-0.1875
A,2,property-a-transformer-tasks02-seed42,transformer,42,descents,local,same_pool_unseen,validation,160,320,3.669261169433594,0.54375,0.0875,0.09375,-0.0062500000000000056
A,2,property-a-transformer-tasks02-seed42,transformer,42,recoils,local,opposite_pool,validation,160,320,3.583833169937134,0.55,0.1,0.10625,-0.006249999999999992
A,2,property-a-transformer-tasks02-seed42,transformer,42,peaks,local,seen,validation,160,320,0.4332227945327759,0.790625,0.58125,0.1125,0.46875000000000006
A,2,property-a-transformer-tasks02-seed42,transformer,42,valleys,local,same_pool_unseen,validation,160,320,1.0828877687454224,0.68125,0.3625,0.1375,0.22499999999999998
A,2,property-a-transformer-tasks02-seed42,transformer,42,double_ascents,local,opposite_pool,validation,160,320,3.2172068119049073,0.58125,0.1625,0.2,-0.037500000000000006
A,2,property-a-transformer-tasks02-seed42,transformer,42,double_descents,local,same_pool_unseen,validation,160,320,3.5464025497436524,0.56875,0.1375,0.23125,-0.09375
A,2,property-a-transformer-tasks02-seed42,transformer,42,successions,local,opposite_pool,validation,160,320,5.178364086151123,0.53125,0.0625,0.4,-0.3375
A,2,property-a-transformer-tasks02-seed42,transformer,42,adjacencies,local,opposite_pool,validation,160,320,4.169758987426758,0.5625,0.125,0.325,-0.2
A,2,property-a-transformer-tasks02-seed42,transformer,42,fixed_points,positional,same_pool_unseen,validation,160,320,5.075545883178711,0.54375,0.0875,0.44375,-0.35624999999999996
A,2,property-a-transformer-tasks02-seed42,transformer,42,anti_fixed_points,positional,same_pool_unseen,validation,160,320,4.773849964141846,0.565625,0.13125,0.4375,-0.30625
A,2,property-a-transformer-tasks02-seed42,transformer,42,exceedances,positional,opposite_pool,validation,160,320,3.727309465408325,0.5375,0.075,0.09375,-0.018750000000000003
A,2,property-a-transformer-tasks02-seed42,transformer,42,deficiencies,positional,opposite_pool,validation,160,320,3.470638561248779,0.56875,0.1375,0.1,0.037500000000000006
