pool,trained_task_count,task_status,task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
A,1,seen,1,0.2791000545024872,0.878125,0.75625,0.1125,0.6437499999999999
A,1,same_pool_unseen,15,4.360629116694132,0.5533333333333333,0.145,0.32166666666666666,-0.17666666666666667
A,1,opposite_pool,16,4.925450721383095,0.5310546875,0.112109375,0.34804687500000003,-0.23593750000000002
A,2,seen,2,0.217704963311553,0.8953125,0.790625,0.190625,0.6
A,2,same_pool_unseen,14,3.627935424872807,0.5683035714285715,0.13660714285714287,0.3254464285714286,-0.1888392857142857
A,2,opposite_pool,16,4.230460810661316,0.556640625,0.11328125,0.34804687500000003,-0.234765625
A,4,seen,4,0.2743860819377005,0.8796875,0.759375,0.3,0.459375
A,4,same_pool_unseen,12,4.149170247713725,0.5625,0.12604166666666666,0.31145833333333334,-0.18541666666666667
A,4,opposite_pool,16,4.537806007266044,0.5580078125,0.1203125,0.34804687500000003,-0.22773437500000002
A,8,seen,8,0.40970578994601964,0.814453125,0.62890625,0.26328125,0.365625
A,8,same_pool_unseen,8,2.2526709869503976,0.56796875,0.13671875,0.35390625,-0.2171875
A,8,opposite_pool,16,2.4307030022144316,0.5708984375,0.14296875,0.34804687500000003,-0.20507812500000003
A,16,seen,16,0.5139240365475416,0.780078125,0.56015625,0.30859375,0.2515625
A,16,opposite_pool,16,2.253056836128235,0.57578125,0.1515625,0.34804687500000003,-0.19648437500000002
B,1,seen,1,0.5199504852294922,0.790625,0.58125,0.325,0.25625000000000003
B,1,same_pool_unseen,15,3.0940654134750365,0.5458333333333333,0.17375000000000002,0.34958333333333336,-0.17583333333333334
B,1,opposite_pool,16,2.568520214408636,0.5583984375,0.161328125,0.30859375,-0.14726562499999998
B,2,seen,2,0.2403940290212631,0.8890625,0.778125,0.340625,0.4375
B,2,same_pool_unseen,14,4.86439210346767,0.5493303571428572,0.10848214285714286,0.3491071428571429,-0.24062500000000003
B,2,opposite_pool,16,4.320407220721245,0.5794921875,0.165234375,0.30859375,-0.14335937499999998
B,4,seen,4,0.2836507183499634,0.88046875,0.7609375,0.5484375,0.21249999999999997
B,4,same_pool_unseen,12,3.1631869395573933,0.5598958333333334,0.14739583333333334,0.28125,-0.1338541666666667
B,4,opposite_pool,16,2.8447635978460313,0.5728515625,0.156640625,0.30859375,-0.151953125
B,8,seen,8,0.3613871859386563,0.851953125,0.70390625,0.43125,0.27265625
B,8,same_pool_unseen,8,3.875133514404297,0.547265625,0.09453125,0.26484375,-0.1703125
B,8,opposite_pool,16,2.8483579412102698,0.582421875,0.16484374999999998,0.30859375,-0.14375
B,16,seen,16,0.48598132787737996,0.7984375,0.596875,0.34804687500000003,0.24882812499999998
B,16,opposite_pool,16,2.0500444985926154,0.562890625,0.12578125,0.30859375,-0.1828125
