comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,embedding,4096,0.6460245979400417
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,block_01,4096,0.4747386387263479
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,block_02,4096,0.5198278408822322
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,block_03,4096,0.315773599370651
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,block_04,4096,0.1229772950985871
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed101,b,1,property-b-transformer-tasks01-seed101,final_norm,4096,0.08775865416802138
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,embedding,4096,0.8096581923809085
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,block_01,4096,0.5596712601813612
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,block_02,4096,0.3724863165556533
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,block_03,4096,0.29789899314153023
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,block_04,4096,0.1821143500220644
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed101,b,2,property-b-transformer-tasks02-seed101,final_norm,4096,0.12269071005500837
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed101,b,4,property-b-transformer-tasks04-seed101,embedding,4096,0.8509057041846171
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed101,b,4,property-b-transformer-tasks04-seed101,block_01,4096,0.4032617315085147
