replicate_id,model_seed,trained_task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
r0,17,1,6.764096880704164,0.534375,0.091796875,0.32832031250000004,-0.2365234375
r0,17,2,4.191874065250158,0.54755859375,0.0958984375,0.32832031250000004,-0.232421875
r0,17,4,3.3470122545957564,0.55712890625,0.11992187500000001,0.32832031250000004,-0.2083984375
r0,17,8,3.2958611458539964,0.54423828125,0.09355468750000001,0.32832031250000004,-0.23476562500000003
r0,17,16,2.238328260555863,0.5880859375,0.1775390625,0.32832031250000004,-0.15078124999999998
r3,17,1,5.398250388354063,0.54443359375,0.10078124999999999,0.32832031250000004,-0.2275390625
r3,17,2,5.0797609895467755,0.5453125,0.10390625,0.32832031250000004,-0.2244140625
r3,17,4,3.6311649650335314,0.5390625,0.0904296875,0.32832031250000004,-0.23789062500000002
r3,17,8,3.294663989543915,0.54130859375,0.0919921875,0.32832031250000004,-0.236328125
r3,17,16,2.3951890736818315,0.58134765625,0.16269531250000002,0.32832031250000004,-0.16562500000000002
r4,17,1,6.823139202594756,0.5525390625,0.142578125,0.32832031250000004,-0.1857421875
r4,17,2,4.435830466449261,0.5215820312499999,0.06855468749999999,0.32832031250000004,-0.259765625
r4,17,4,3.325482516735792,0.5525390625,0.1078125,0.32832031250000004,-0.2205078125
r4,17,8,2.4138627327978615,0.5611328125,0.1314453125,0.32832031250000004,-0.19687500000000002
r4,17,16,2.324159767851233,0.575,0.1501953125,0.32832031250000004,-0.17812499999999998
