pool,trained_task_count,run_id,architecture,seed,task,task_family,task_status,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,majority_baseline_sequence_accuracy,sequence_accuracy_minus_majority
A,1,property-a-transformer-tasks01-seed17,transformer,17,descents,local,opposite_pool,validation,160,320,5.94854154586792,0.496875,0.05625,0.09375,-0.0375
A,1,property-a-transformer-tasks01-seed17,transformer,17,recoils,local,same_pool_unseen,validation,160,320,5.577265930175781,0.525,0.05,0.10625,-0.056249999999999994
A,1,property-a-transformer-tasks01-seed17,transformer,17,peaks,local,same_pool_unseen,validation,160,320,4.680921268463135,0.56875,0.1375,0.1125,0.02500000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,valleys,local,same_pool_unseen,validation,160,320,5.062632274627686,0.54375,0.09375,0.1375,-0.04375000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_ascents,local,same_pool_unseen,validation,160,320,3.294220972061157,0.59375,0.1875,0.2,-0.012500000000000011
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_descents,local,opposite_pool,validation,160,320,3.4103477001190186,0.59375,0.1875,0.23125,-0.04375000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,successions,local,opposite_pool,validation,160,320,2.2638105392456054,0.665625,0.33125,0.4,-0.06875000000000003
A,1,property-a-transformer-tasks01-seed17,transformer,17,adjacencies,local,opposite_pool,validation,160,320,2.833504629135132,0.609375,0.21875,0.325,-0.10625000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,fixed_points,positional,same_pool_unseen,validation,160,320,2.572910928726196,0.64375,0.2875,0.44375,-0.15625
A,1,property-a-transformer-tasks01-seed17,transformer,17,anti_fixed_points,positional,seen,validation,160,320,0.07880177944898606,0.984375,0.96875,0.4375,0.53125
A,1,property-a-transformer-tasks01-seed17,transformer,17,exceedances,positional,opposite_pool,validation,160,320,5.817149353027344,0.4875,0.0625,0.09375,-0.03125
A,1,property-a-transformer-tasks01-seed17,transformer,17,deficiencies,positional,opposite_pool,validation,160,320,5.746964454650879,0.4875,0.0625,0.1,-0.037500000000000006
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_maxima,positional,opposite_pool,validation,160,320,4.332143831253052,0.540625,0.08125,0.28125,-0.2
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_minima,positional,opposite_pool,validation,160,320,3.928403854370117,0.54375,0.09375,0.26875,-0.175
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_maxima,positional,same_pool_unseen,validation,160,320,3.819736194610596,0.565625,0.13125,0.35625,-0.225
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_minima,positional,same_pool_unseen,validation,160,320,4.384081840515137,0.528125,0.0625,0.24375,-0.18125
A,1,property-a-transformer-tasks01-seed17,transformer,17,cycle_count,cycle,opposite_pool,validation,160,320,4.1085247039794925,0.546875,0.09375,0.2625,-0.16875
A,1,property-a-transformer-tasks01-seed17,transformer,17,two_cycle_count,cycle,opposite_pool,validation,160,320,2.8158381938934327,0.64375,0.2875,0.675,-0.38750000000000007
A,1,property-a-transformer-tasks01-seed17,transformer,17,three_cycle_count,cycle,same_pool_unseen,validation,160,320,2.64402551651001,0.66875,0.3375,0.71875,-0.38125
A,1,property-a-transformer-tasks01-seed17,transformer,17,even_cycle_count,cycle,opposite_pool,validation,160,320,2.3396681785583495,0.64375,0.2875,0.375,-0.08750000000000002
A,1,property-a-transformer-tasks01-seed17,transformer,17,odd_cycle_count,cycle,opposite_pool,validation,160,320,2.9977439880371093,0.621875,0.25,0.325,-0.07500000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,longest_cycle,cycle,same_pool_unseen,validation,160,320,6.530294704437256,0.44375,0.0375,0.0875,-0.049999999999999996
A,1,property-a-transformer-tasks01-seed17,transformer,17,shortest_cycle,cycle,same_pool_unseen,validation,160,320,2.668680477142334,0.621875,0.25625,0.6125,-0.35625000000000007
A,1,property-a-transformer-tasks01-seed17,transformer,17,nontrivial_cycle_count,cycle,same_pool_unseen,validation,160,320,3.126573657989502,0.578125,0.15625,0.35625,-0.2
A,1,property-a-transformer-tasks01-seed17,transformer,17,lis_length,global_run,same_pool_unseen,validation,160,320,5.736701011657715,0.515625,0.03125,0.2,-0.16875
A,1,property-a-transformer-tasks01-seed17,transformer,17,lds_length,global_run,opposite_pool,validation,160,320,5.652370834350586,0.521875,0.04375,0.175,-0.13124999999999998
A,1,property-a-transformer-tasks01-seed17,transformer,17,longest_increasing_run,global_run,opposite_pool,validation,160,320,4.059179878234863,0.521875,0.04375,0.44375,-0.39999999999999997
