comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,embedding,4096,0.5466712206558271
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_01,4096,0.0796451916675695
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_02,4096,0.06568126238728843
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_03,4096,0.07067563398360059
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_04,4096,0.06376002021762282
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,final_norm,4096,0.07302908225669853
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,embedding,4096,0.7187217720004124
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_01,4096,0.13101346335225944
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_02,4096,0.13028604006198938
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_03,4096,0.13067223487410326
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_04,4096,0.13159028946886384
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,final_norm,4096,0.11537319700007398
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,embedding,4096,0.8924176118278166
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_01,4096,0.20112846336992143
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_02,4096,0.13087227379202665
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_03,4096,0.1169732281307404
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,block_04,4096,0.1270697705429536
disjoint_pools_equal_k,transformer,a,4,property-a-transformer-tasks04-seed17,b,4,property-b-transformer-tasks04-seed17,final_norm,4096,0.13489909277509024
