pool,trained_task_count,task_status,task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
A,1,seen,1,0.0025168024003505707,1.0,1.0,0.2,0.8
A,1,same_pool_unseen,15,6.30338123957316,0.5708333333333333,0.14166666666666666,0.29041666666666666,-0.14875000000000002
A,1,opposite_pool,16,6.406348603963852,0.5677734375,0.135546875,0.371875,-0.236328125
A,2,seen,2,0.05722566675394774,0.9890625,0.978125,0.278125,0.7
A,2,same_pool_unseen,14,4.398410487174988,0.5205357142857142,0.09196428571428572,0.2857142857142857,-0.19375
A,2,opposite_pool,16,4.5109849870204926,0.5248046875,0.0953125,0.371875,-0.2765625
A,4,seen,4,0.34852479640394446,0.846875,0.69375,0.2765625,0.4171875
A,4,same_pool_unseen,12,2.841945473353068,0.5765625,0.15677083333333333,0.28750000000000003,-0.13072916666666667
A,4,opposite_pool,16,2.8630316987633706,0.5765625,0.15703125,0.371875,-0.21484375
A,8,seen,8,0.5851891502737999,0.744921875,0.48984375,0.29140625,0.1984375
A,8,same_pool_unseen,8,2.1708920508623124,0.564453125,0.16953125,0.278125,-0.10859375000000002
A,8,opposite_pool,16,2.060837407410145,0.56796875,0.154296875,0.371875,-0.217578125
A,16,seen,16,0.5308875266462565,0.7734375,0.546875,0.284765625,0.262109375
A,16,opposite_pool,16,2.1855518721044063,0.573046875,0.14609375,0.371875,-0.22578125
B,1,seen,1,6.434284150600434e-05,1.0,1.0,0.44375,0.55625
B,1,same_pool_unseen,15,7.2913063621521,0.5352083333333334,0.16916666666666666,0.3670833333333333,-0.19791666666666666
B,1,opposite_pool,16,7.239929801225662,0.5373046875,0.149609375,0.284765625,-0.13515625
B,2,seen,2,0.2294202644377947,0.9046875000000001,0.809375,0.27499999999999997,0.534375
B,2,same_pool_unseen,14,4.2121417760849,0.5303571428571429,0.06517857142857143,0.38571428571428573,-0.32053571428571426
B,2,opposite_pool,16,4.360675945878029,0.518359375,0.041796875,0.284765625,-0.24296875
B,4,seen,4,0.2335426352918148,0.9078125,0.815625,0.5,0.315625
B,4,same_pool_unseen,12,3.68522845307986,0.5330729166666667,0.0671875,0.32916666666666666,-0.26197916666666665
B,4,opposite_pool,16,3.787933334708214,0.528515625,0.05859375,0.284765625,-0.226171875
B,8,seen,8,0.3948670957703143,0.85078125,0.7015625,0.38359375,0.31796875
B,8,same_pool_unseen,8,3.0150691241025926,0.548046875,0.09609375,0.36015625,-0.26406250000000003
B,8,opposite_pool,16,2.7668880581855775,0.554296875,0.10859375,0.284765625,-0.176171875
B,16,seen,16,0.45565305803902445,0.8115234375,0.623046875,0.371875,0.251171875
B,16,opposite_pool,16,2.4627676635980604,0.576953125,0.154296875,0.284765625,-0.13046875
