representation,task,combination,task_status,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd,majority_baseline_sequence_accuracy_mean,majority_baseline_sequence_accuracy_sample_sd,sequence_accuracy_minus_majority_mean,sequence_accuracy_minus_majority_sample_sd
one_line,length,one_line:length,seen,3,0.7090139007819989,0.007456130912809301,0.7686015831134565,0.00418904388108372,0.3076,0.01287478155154487,0.0344,0.0,0.2732,0.01287478155154487
one_line,parity,one_line:parity,seen,3,0.3237369740168254,0.002042533093791716,0.7674666666666666,0.0005507570547286134,0.5349333333333334,0.0011015141094572268,0.5028,0.0,0.03213333333333331,0.0011015141094572268
one_line,peaks,one_line:peaks,seen,3,0.5490817757924398,0.0011952740639804985,0.7563333333333334,0.0029143323992526205,0.5126666666666667,0.005828664798505161,0.1134,0.0,0.39926666666666666,0.005828664798505161
one_line,exceedances,one_line:exceedances,seen,3,0.2367635519107183,0.02536994304365932,0.9381333333333334,0.02067107479869719,0.8762666666666666,0.04134214959739434,0.0776,0.0,0.7986666666666666,0.04134214959739434
one_line,fixed_points,one_line:fixed_points,seen,3,0.08431089596748352,0.021682445433377186,0.9712666666666667,0.0079324229169487,0.9425333333333333,0.01586484583389745,0.3686,0.0,0.5739333333333333,0.0158648458338974
one_line,descents,one_line:descents,seen,3,0.6541543657620749,0.016453408196429806,0.7234666666666666,0.010249064998005063,0.44693333333333335,0.02049812999601021,0.0764,0.0,0.3705333333333334,0.02049812999601019
one_line,recoils,one_line:recoils,seen,3,0.6661717756271363,0.009438878581137592,0.7144,0.0051884487084290914,0.4288,0.01037689741685829,0.0796,0.0,0.3492,0.01037689741685829
one_line,lis_length,one_line:lis_length,seen,3,0.4741130531311035,0.019503380637546745,0.7939333333333334,0.00808723273643918,0.5878666666666666,0.01617446547287836,0.1644,0.0,0.42346666666666666,0.01617446547287836
cycle,length,cycle:length,held_out,3,2.0847714450554355,0.2319751662654037,0.6712401055408971,0.008791666006092923,0.0914,0.006238589584192886,0.0344,0.0,0.056999999999999995,0.006238589584192886
cycle,parity,cycle:parity,held_out,3,0.3723154421488444,0.013049206748500382,0.7592,0.004250882261366472,0.5184000000000001,0.008501764522732908,0.5028,0.0,0.015599999999999984,0.008501764522732908
cycle,peaks,cycle:peaks,held_out,3,0.9124618796984354,0.11842305193001393,0.6785666666666668,0.017600378783802738,0.3571333333333333,0.035200757567605476,0.1134,0.0,0.24373333333333333,0.035200757567605476
cycle,exceedances,cycle:exceedances,held_out,3,1.2445463939030965,0.14561752630257901,0.6606333333333333,0.004574203027122097,0.32126666666666664,0.009148406054244287,0.0776,0.0,0.24366666666666667,0.009148406054244287
cycle,fixed_points,cycle:fixed_points,held_out,3,2.272026612981161,0.16193696902033816,0.6478,0.013884883866997258,0.29560000000000003,0.027769767733994453,0.3686,0.0,-0.07299999999999997,0.027769767733994453
cycle,descents,cycle:descents,seen,3,0.6958004995663961,0.0011680397601708528,0.7018333333333334,0.0005507570547286067,0.4036666666666667,0.00110151410945721,0.0764,0.0,0.3272666666666667,0.00110151410945721
cycle,recoils,cycle:recoils,held_out,3,0.725955198764801,0.006525919153444433,0.6943666666666667,0.00015275252316517785,0.3887333333333333,0.00030550504633037993,0.0796,0.0,0.3091333333333333,0.00030550504633037993
cycle,lis_length,cycle:lis_length,held_out,3,1.113743054008484,0.13988900931824597,0.6295333333333333,0.023651074676076207,0.2614666666666667,0.04992367507839677,0.1644,0.0,0.09706666666666668,0.04992367507839677
lehmer,length,lehmer:length,held_out,3,2.5612372802660563,0.36073535623955083,0.6629287598944591,0.006464379947229558,0.07533333333333334,0.008239741096256201,0.0344,0.0,0.040933333333333335,0.008239741096256201
lehmer,parity,lehmer:parity,held_out,3,0.7093428592681885,0.4610412374457666,0.7424,0.026669645666937563,0.48479999999999995,0.053339291333875063,0.5028,0.0,-0.018000000000000054,0.053339291333875063
lehmer,peaks,lehmer:peaks,held_out,3,1.9988495765686034,1.030823066270706,0.6103999999999999,0.08437955913608461,0.2208,0.16875911827216922,0.1134,0.0,0.10740000000000001,0.16875911827216922
lehmer,exceedances,lehmer:exceedances,held_out,3,1.5063346579233805,0.21938990028690517,0.6542666666666667,0.00977053393286842,0.3085333333333333,0.01954106786573687,0.0776,0.0,0.23093333333333335,0.01954106786573687
lehmer,fixed_points,lehmer:fixed_points,held_out,3,2.7023905583699546,0.41211311710116544,0.6403,0.03279679862425598,0.2806,0.065593597248512,0.3686,0.0,-0.08799999999999997,0.065593597248512
lehmer,descents,lehmer:descents,seen,3,0.5959741799195607,0.02107162235649737,0.7464,0.00875042856093344,0.49279999999999996,0.017500857121866904,0.0764,0.0,0.41640000000000005,0.017500857121866876
lehmer,recoils,lehmer:recoils,held_out,3,0.7478190923690796,0.019561305682222703,0.7040000000000001,0.003244996147917587,0.408,0.006489992295835182,0.0796,0.0,0.3284,0.006489992295835182
lehmer,lis_length,lehmer:lis_length,held_out,3,1.4050652722676595,0.40749810330433917,0.6324,0.03050688446891947,0.2648,0.06101376893783893,0.1644,0.0,0.1004,0.06101376893783893
inversion_vector,length,inversion_vector:length,held_out,3,2.517854973550627,0.3907309682324918,0.6672163588390502,0.009486533936718491,0.0724,0.010258654882585724,0.0344,0.0,0.038,0.010258654882585724
inversion_vector,parity,inversion_vector:parity,held_out,3,0.413601136747996,0.06112027458195904,0.7614333333333333,0.0014011899704655909,0.5228666666666667,0.00280237994093113,0.5028,0.0,0.02006666666666664,0.00280237994093113
inversion_vector,peaks,inversion_vector:peaks,held_out,3,1.4792180304209392,0.5738723322603291,0.6196666666666667,0.06540323641329479,0.23933333333333331,0.13080647282658964,0.1134,0.0,0.12593333333333334,0.13080647282658964
inversion_vector,exceedances,inversion_vector:exceedances,held_out,3,1.514413315486908,0.3205246968343727,0.6498666666666667,0.009938477415244947,0.29973333333333335,0.019876954830489846,0.0776,0.0,0.22213333333333332,0.019876954830489846
inversion_vector,fixed_points,inversion_vector:fixed_points,held_out,3,2.3659097400665283,0.13536019017266424,0.661,0.006144102863722291,0.322,0.012288205727444518,0.3686,0.0,-0.046599999999999975,0.012288205727444518
inversion_vector,descents,inversion_vector:descents,seen,3,0.6562519126892089,0.0078101166055252426,0.7197999999999999,0.0035679125549822614,0.4396,0.0071358251099644865,0.0764,0.0,0.36319999999999997,0.007135825109964462
inversion_vector,recoils,inversion_vector:recoils,held_out,3,0.6666552996317545,0.0051011545621352595,0.7162666666666667,0.002107921567168316,0.4325333333333334,0.004215843134336624,0.0796,0.0,0.3529333333333333,0.004215843134336624
inversion_vector,lis_length,inversion_vector:lis_length,held_out,3,1.2809749801317851,0.27357162756078107,0.6289666666666667,0.02192175479594036,0.26306666666666667,0.041423342855609,0.1644,0.0,0.09866666666666668,0.041423342855609
