comparison,architecture,condition_a,seed_a,run_id_a,layer,condition_b,seed_b,run_id_b,probe_examples,linear_cka
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,encoding_e4,42,category-encoding-e4-mlp-seed42,4096,0.7315945780747393
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,encoding_e4,42,category-encoding-e4-mlp-seed42,4096,0.7757435230827202
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,encoding_e4,42,category-encoding-e4-mlp-seed42,4096,0.6323298114230413
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.6841898603075084
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.3625809639238663
within_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.5597213023823182
within_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.6615942866227703
within_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.3477428392332535
within_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,encoding_e4,314159,category-encoding-e4-mlp-seed314159,4096,0.44913693194065607
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,embedding,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.9080960427140016
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,block_01,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.825434827405651
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,final_norm,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.835701361393676
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,embedding,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8986127490573842
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,block_01,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8358691705267944
within_condition_cross_seed,mlp,statistics_s4,17,category-statistics-s4-mlp-seed17,final_norm,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8483903630838483
within_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,embedding,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8751885609590979
within_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,block_01,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8336060679775281
within_condition_cross_seed,mlp,statistics_s4,42,category-statistics-s4-mlp-seed42,final_norm,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.8505007325633899
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,embedding,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.721530543390254
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,block_01,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.4068993842856821
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,final_norm,algebra_a4,42,category-algebra-a4-mlp-seed42,4096,0.5547465484729756
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.7924941861215711
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.25280273638036815
within_condition_cross_seed,mlp,algebra_a4,17,category-algebra-a4-mlp-seed17,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.5019507680559725
within_condition_cross_seed,mlp,algebra_a4,42,category-algebra-a4-mlp-seed42,embedding,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.7491895246922465
within_condition_cross_seed,mlp,algebra_a4,42,category-algebra-a4-mlp-seed42,block_01,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.1956815149138792
within_condition_cross_seed,mlp,algebra_a4,42,category-algebra-a4-mlp-seed42,final_norm,algebra_a4,314159,category-algebra-a4-mlp-seed314159,4096,0.5445449572400383
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.6519462967327508
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.6306708589229701
disjoint_condition_same_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.5603126704320397
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.6186047463230252
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.48125002676521206
