comparison,architecture_a,trained_task_count_a,seed_a,run_id_a,layer_a,architecture_b,trained_task_count_b,seed_b,run_id_b,layer_b,probe_examples,linear_cka
seed_stability,mlp,1,17,mlp-tasks01-seed17,embedding,mlp,1,42,mlp-tasks01-seed42,embedding,4096,0.8932384858159704
seed_stability,mlp,1,17,mlp-tasks01-seed17,block_01,mlp,1,42,mlp-tasks01-seed42,block_01,4096,0.8596582891333904
seed_stability,mlp,1,17,mlp-tasks01-seed17,final_norm,mlp,1,42,mlp-tasks01-seed42,final_norm,4096,0.8325594842426647
seed_stability,mlp,1,17,mlp-tasks01-seed17,embedding,mlp,1,314159,mlp-tasks01-seed314159,embedding,4096,0.9227425998028213
seed_stability,mlp,1,17,mlp-tasks01-seed17,block_01,mlp,1,314159,mlp-tasks01-seed314159,block_01,4096,0.8424008623256727
seed_stability,mlp,1,17,mlp-tasks01-seed17,final_norm,mlp,1,314159,mlp-tasks01-seed314159,final_norm,4096,0.8079189797808669
seed_stability,mlp,1,42,mlp-tasks01-seed42,embedding,mlp,1,314159,mlp-tasks01-seed314159,embedding,4096,0.9277332250388346
seed_stability,mlp,1,42,mlp-tasks01-seed42,block_01,mlp,1,314159,mlp-tasks01-seed314159,block_01,4096,0.9164870730615019
seed_stability,mlp,1,42,mlp-tasks01-seed42,final_norm,mlp,1,314159,mlp-tasks01-seed314159,final_norm,4096,0.8361629100782673
seed_stability,mlp,2,17,mlp-tasks02-seed17,embedding,mlp,2,42,mlp-tasks02-seed42,embedding,4096,0.8749843185847943
seed_stability,mlp,2,17,mlp-tasks02-seed17,block_01,mlp,2,42,mlp-tasks02-seed42,block_01,4096,0.7509568407537065
seed_stability,mlp,2,17,mlp-tasks02-seed17,final_norm,mlp,2,42,mlp-tasks02-seed42,final_norm,4096,0.8216585383018271
seed_stability,mlp,2,17,mlp-tasks02-seed17,embedding,mlp,2,314159,mlp-tasks02-seed314159,embedding,4096,0.8909906551266208
seed_stability,mlp,2,17,mlp-tasks02-seed17,block_01,mlp,2,314159,mlp-tasks02-seed314159,block_01,4096,0.7501234698601973
seed_stability,mlp,2,17,mlp-tasks02-seed17,final_norm,mlp,2,314159,mlp-tasks02-seed314159,final_norm,4096,0.8859455784821181
seed_stability,mlp,2,42,mlp-tasks02-seed42,embedding,mlp,2,314159,mlp-tasks02-seed314159,embedding,4096,0.9199942419627
seed_stability,mlp,2,42,mlp-tasks02-seed42,block_01,mlp,2,314159,mlp-tasks02-seed314159,block_01,4096,0.827464637249757
seed_stability,mlp,2,42,mlp-tasks02-seed42,final_norm,mlp,2,314159,mlp-tasks02-seed314159,final_norm,4096,0.8612235716355949
seed_stability,mlp,4,17,mlp-tasks04-seed17,embedding,mlp,4,42,mlp-tasks04-seed42,embedding,4096,0.9205985185350265
seed_stability,mlp,4,17,mlp-tasks04-seed17,block_01,mlp,4,42,mlp-tasks04-seed42,block_01,4096,0.48258757813722486
seed_stability,mlp,4,17,mlp-tasks04-seed17,final_norm,mlp,4,42,mlp-tasks04-seed42,final_norm,4096,0.42941753109294933
seed_stability,mlp,4,17,mlp-tasks04-seed17,embedding,mlp,4,314159,mlp-tasks04-seed314159,embedding,4096,0.9596577411187261
seed_stability,mlp,4,17,mlp-tasks04-seed17,block_01,mlp,4,314159,mlp-tasks04-seed314159,block_01,4096,0.463857344504142
seed_stability,mlp,4,17,mlp-tasks04-seed17,final_norm,mlp,4,314159,mlp-tasks04-seed314159,final_norm,4096,0.35934653856883836
seed_stability,mlp,4,42,mlp-tasks04-seed42,embedding,mlp,4,314159,mlp-tasks04-seed314159,embedding,4096,0.9338313705758434
seed_stability,mlp,4,42,mlp-tasks04-seed42,block_01,mlp,4,314159,mlp-tasks04-seed314159,block_01,4096,0.6767940637969392
seed_stability,mlp,4,42,mlp-tasks04-seed42,final_norm,mlp,4,314159,mlp-tasks04-seed314159,final_norm,4096,0.6885744467746082
seed_stability,mlp,8,17,mlp-tasks08-seed17,embedding,mlp,8,42,mlp-tasks08-seed42,embedding,4096,0.9269917371709682
seed_stability,mlp,8,17,mlp-tasks08-seed17,block_01,mlp,8,42,mlp-tasks08-seed42,block_01,4096,0.2836074842970017
seed_stability,mlp,8,17,mlp-tasks08-seed17,final_norm,mlp,8,42,mlp-tasks08-seed42,final_norm,4096,0.4232482445105853
seed_stability,mlp,8,17,mlp-tasks08-seed17,embedding,mlp,8,314159,mlp-tasks08-seed314159,embedding,4096,0.9309113830497964
seed_stability,mlp,8,17,mlp-tasks08-seed17,block_01,mlp,8,314159,mlp-tasks08-seed314159,block_01,4096,0.246261951143242
seed_stability,mlp,8,17,mlp-tasks08-seed17,final_norm,mlp,8,314159,mlp-tasks08-seed314159,final_norm,4096,0.45886579545532935
seed_stability,mlp,8,42,mlp-tasks08-seed42,embedding,mlp,8,314159,mlp-tasks08-seed314159,embedding,4096,0.9260797078601205
seed_stability,mlp,8,42,mlp-tasks08-seed42,block_01,mlp,8,314159,mlp-tasks08-seed314159,block_01,4096,0.5538975802457167
seed_stability,mlp,8,42,mlp-tasks08-seed42,final_norm,mlp,8,314159,mlp-tasks08-seed314159,final_norm,4096,0.8126209687018006
seed_stability,mlp,16,17,mlp-tasks16-seed17,embedding,mlp,16,42,mlp-tasks16-seed42,embedding,4096,0.9721065069743156
seed_stability,mlp,16,17,mlp-tasks16-seed17,block_01,mlp,16,42,mlp-tasks16-seed42,block_01,4096,0.9010437696882649
seed_stability,mlp,16,17,mlp-tasks16-seed17,final_norm,mlp,16,42,mlp-tasks16-seed42,final_norm,4096,0.8682108134985917
seed_stability,mlp,16,17,mlp-tasks16-seed17,embedding,mlp,16,314159,mlp-tasks16-seed314159,embedding,4096,0.9634546914363391
seed_stability,mlp,16,17,mlp-tasks16-seed17,block_01,mlp,16,314159,mlp-tasks16-seed314159,block_01,4096,0.8979037693908343
seed_stability,mlp,16,17,mlp-tasks16-seed17,final_norm,mlp,16,314159,mlp-tasks16-seed314159,final_norm,4096,0.8392743488960689
seed_stability,mlp,16,42,mlp-tasks16-seed42,embedding,mlp,16,314159,mlp-tasks16-seed314159,embedding,4096,0.9579096782989185
seed_stability,mlp,16,42,mlp-tasks16-seed42,block_01,mlp,16,314159,mlp-tasks16-seed314159,block_01,4096,0.8852889846371067
seed_stability,mlp,16,42,mlp-tasks16-seed42,final_norm,mlp,16,314159,mlp-tasks16-seed314159,final_norm,4096,0.7927126344385017
seed_stability,transformer,1,17,transformer-tasks01-seed17,embedding,transformer,1,42,transformer-tasks01-seed42,embedding,4096,0.92230844286579
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_01,transformer,1,42,transformer-tasks01-seed42,block_01,4096,0.4045636416169267
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_02,transformer,1,42,transformer-tasks01-seed42,block_02,4096,0.35255517550993
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_03,transformer,1,42,transformer-tasks01-seed42,block_03,4096,0.33321530007811895
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_04,transformer,1,42,transformer-tasks01-seed42,block_04,4096,0.36010535525224724
seed_stability,transformer,1,17,transformer-tasks01-seed17,final_norm,transformer,1,42,transformer-tasks01-seed42,final_norm,4096,0.4161068239289405
seed_stability,transformer,1,17,transformer-tasks01-seed17,embedding,transformer,1,314159,transformer-tasks01-seed314159,embedding,4096,0.9349734742264008
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_01,transformer,1,314159,transformer-tasks01-seed314159,block_01,4096,0.8252291727337582
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_02,transformer,1,314159,transformer-tasks01-seed314159,block_02,4096,0.8297947155068087
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_03,transformer,1,314159,transformer-tasks01-seed314159,block_03,4096,0.8352397123610019
seed_stability,transformer,1,17,transformer-tasks01-seed17,block_04,transformer,1,314159,transformer-tasks01-seed314159,block_04,4096,0.7321004909379382
seed_stability,transformer,1,17,transformer-tasks01-seed17,final_norm,transformer,1,314159,transformer-tasks01-seed314159,final_norm,4096,0.7611796615492273
seed_stability,transformer,1,42,transformer-tasks01-seed42,embedding,transformer,1,314159,transformer-tasks01-seed314159,embedding,4096,0.9284173466000661
seed_stability,transformer,1,42,transformer-tasks01-seed42,block_01,transformer,1,314159,transformer-tasks01-seed314159,block_01,4096,0.3407974860421555
seed_stability,transformer,1,42,transformer-tasks01-seed42,block_02,transformer,1,314159,transformer-tasks01-seed314159,block_02,4096,0.2633009136846157
seed_stability,transformer,1,42,transformer-tasks01-seed42,block_03,transformer,1,314159,transformer-tasks01-seed314159,block_03,4096,0.3048834831356422
seed_stability,transformer,1,42,transformer-tasks01-seed42,block_04,transformer,1,314159,transformer-tasks01-seed314159,block_04,4096,0.3687651818293643
