initialization,architecture,base_trained_task_count,seed_count,task_count,loss_100_minus_5_mean,loss_100_minus_5_sample_sd,token_accuracy_100_minus_5_mean,token_accuracy_100_minus_5_sample_sd,sequence_accuracy_100_minus_5_mean,sequence_accuracy_100_minus_5_sample_sd
pretrained,mlp,1,3,4,0.090870496860534944,0.084217860869757896,0.00010224174767908027,0.00096144891160564975,-0.00041666666666666702,0.00037859388972001791
pretrained,mlp,2,3,4,0.13257585873888908,0.052707270478907615,-0.00011550796047285917,0.0011324460685928558,-0.00018333333333333453,0.00097510683175400508
pretrained,mlp,4,3,4,0.098622409521696194,0.060706997724409476,0.0046924799710465308,0.0077205158666686993,0.014783333333333334,0.016565501300393335
pretrained,mlp,8,3,4,0.043850775624672565,0.057993673619519286,0.0027481832804385742,0.0028100843339668893,0.0096166666666666692,0.01216268199589767
pretrained,mlp,16,3,4,-0.012476038528129729,0.14088056970387119,-0.0037269998442929727,0.013412296146634507,0.0098666666666666677,0.020488187653702642
pretrained,transformer,1,3,4,-0.0079875175460294434,0.098268401321154164,-0.0022654446617978233,0.0049336098170157669,-0.0017333333333333333,0.012398622235286202
pretrained,transformer,2,3,4,0.0032861119907102534,0.18556709311427774,0.015154630211407056,0.018036298505922279,0.011666666666666665,0.017925982074445273
pretrained,transformer,4,3,4,-0.32458423603659853,0.11000768766263132,0.023440374899826907,0.0084644877864215387,0.025533333333333335,0.018475817528145626
pretrained,transformer,8,3,4,-0.39781806599302422,0.13950632728198695,0.018223362728292267,0.0038316845741954704,0.0070166666666666676,0.0082964349773461815
pretrained,transformer,16,3,4,-0.27438791141421615,0.13139164526909689,0.012605687592460025,0.0057582206417308096,0.004099999999999996,0.0053714523175766851
random,mlp,0,3,4,-1.181016675209563,0.038413291153101867,0.028655713963235865,0.0043555877613021638,0.015283333333333324,0.0054291650677920278
random,transformer,0,3,4,-1.3116657762206569,0.071264036004382178,0.021162374316170768,0.0020322802508589088,0.022166666666666668,0.0028360771028541052
