model_kind,architecture,condition,layer,probe_task_family,model_count,length_conditioned_r2_mean,length_conditioned_r2_sample_sd,pearson_r_mean,pearson_r_sample_sd,normalized_rmse_mean,normalized_rmse_sample_sd,exact_accuracy_mean,exact_accuracy_sample_sd,length_mode_baseline_accuracy_mean,length_mode_baseline_accuracy_sample_sd,exact_accuracy_minus_baseline_mean,exact_accuracy_minus_baseline_sample_sd
random,mlp,random_init,block_01,all,3,0.0030278883626255262,0.0014959301524167504,0.04381426560129967,0.009266568871017093,1.0287387310227323,0.0007550955308575454,0.3835703531901042,0.0026118570386880874,0.4211578369140625,0.0,-0.037587483723958336,0.0026118570386880874
random,mlp,random_init,block_01,cycle,3,0.0005746514106705578,0.000785617235046337,0.02063146790583888,0.009712397256333955,1.0037767783845186,0.00039355071476834585,0.3578592936197917,0.0007406933283505854,0.4817047119140625,0.0,-0.12384541829427083,0.0007406933283505854
random,mlp,random_init,block_01,global_run,3,0.0029381964377721607,0.0019395234339803376,0.05316315571509991,0.00995085136798903,1.0892645203485796,0.0009797512185577002,0.4697469075520833,0.004810085688570099,0.4976806640625,0.0,-0.027933756510416668,0.004810085688570099
random,mlp,random_init,block_01,local,3,-7.040917616373914e-05,0.00011078982826467248,0.0126386224902054,0.004512932524944028,1.0168347745686546,5.685456748883643e-05,0.3721466064453125,0.00035882495166945943,0.3752288818359375,0.0,-0.003082275390625,0.00035882495166945943
random,mlp,random_init,block_01,positional,3,0.008669114778223125,0.00377873290325233,0.08882381629405449,0.016837633037815162,1.0050788507891761,0.001906294416326066,0.3345286051432292,0.005154271986654214,0.33001708984375,0.0,0.004511515299479167,0.005154271986654214
random,mlp,random_init,embedding,all,3,-5.782411586589357e-18,2.0030861316495456e-18,-0.00045586023230021687,0.0005855447027416918,1.0302822599035701,1.2819751242557092e-16,0.3819007873535156,0.0,0.4211578369140625,0.0,-0.039257049560546875,0.0
random,mlp,random_init,embedding,cycle,3,4.625929269271485e-18,8.012344526598183e-18,-0.0029125486822999835,0.00018075795112005696,1.0040621451047635,0.0,0.359466552734375,0.0,0.4817047119140625,0.0,-0.1222381591796875,0.0
random,mlp,random_init,embedding,global_run,3,0.0,0.0,-0.0023465754166657814,0.002350295578315815,1.0908257061107252,0.0,0.4667816162109375,0.0,0.4976806640625,0.0,-0.0308990478515625,0.0
random,mlp,random_init,embedding,local,3,-1.850371707708594e-17,1.6024689053196365e-17,0.003165041980804682,0.0005194578083288883,1.0167965545539535,0.0,0.3724822998046875,0.0,0.3752288818359375,0.0,-0.00274658203125,0.0
random,mlp,random_init,embedding,positional,3,-9.25185853854297e-18,1.6024689053196365e-17,0.0002706411889602158,0.00011597767074302666,1.0094446338448388,0.0,0.3288726806640625,0.0,0.33001708984375,0.0,-0.0011444091796875,0.0
random,mlp,random_init,final_norm,all,3,0.002870583895292045,0.0014172686360317682,0.04334689998031458,0.008420477266225553,1.0288165270752596,0.0007155053460385623,0.38350168863932294,0.0021754892195068715,0.4211578369140625,0.0,-0.037656148274739586,0.0021754892195068715
random,mlp,random_init,final_norm,cycle,3,0.0005740867674371153,0.000768390688786381,0.021126048150227603,0.009536469797381746,1.0037768647907945,0.00038504119984716337,0.3579050699869792,0.0010648769153328926,0.4817047119140625,0.0,-0.12379964192708333,0.0010648769153328926
random,mlp,random_init,final_norm,global_run,3,0.003016687521338643,0.0019684571054851903,0.054008552902826294,0.0075568369138294955,1.089219246513992,0.001000263772049419,0.4688059488932292,0.003798222889938394,0.4976806640625,0.0,-0.028874715169270832,0.003798222889938394
random,mlp,random_init,final_norm,local,3,-0.00011848091043808555,0.0001500334482723471,0.010678321830390853,0.004516173890155315,1.0168594877989279,7.756968292035718e-05,0.3723958333333333,0.0002452507212573485,0.3752288818359375,0.0,-0.0028330485026041665,0.0002452507212573485
random,mlp,random_init,final_norm,positional,3,0.008010042202830506,0.0035694306067246048,0.08757467703781358,0.014703700507741953,1.0054105091973236,0.0017982646661028963,0.33489990234375,0.004413880032169111,0.33001708984375,0.0,0.0048828125,0.004413880032169111
random,transformer,random_init,block_01,all,3,0.12695436501600224,0.012047367099908462,0.32821352742278376,0.015304729623808369,0.9613637936768121,0.006903495431486133,0.4313062032063802,0.002641705628764376,0.4211578369140625,0.0,0.010148366292317709,0.002641705628764376
random,transformer,random_init,block_01,cycle,3,0.10571333617531585,0.0040346892924415165,0.2882336552891885,0.003224579926712343,0.948339730743499,0.002269517026552716,0.4008127848307292,0.0018853302671506986,0.4817047119140625,0.0,-0.08089192708333333,0.0018853302671506986
random,transformer,random_init,block_01,global_run,3,0.13393942863509603,0.018871759817940342,0.35012321240867994,0.02392921551783067,1.0151557066250148,0.011170248982209969,0.5247955322265625,0.005544381319888911,0.4976806640625,0.0,0.0271148681640625,0.005544381319888911
random,transformer,random_init,block_01,local,3,0.0492074918593565,0.007036278140548473,0.2183792740401651,0.015446982597585033,0.9914813910971946,0.0036741373895159734,0.3865915934244792,0.00034131060933039587,0.3752288818359375,0.0,0.011362711588541666,0.00034131060933039587
random,transformer,random_init,block_01,positional,3,0.21895720339424063,0.018739519089091685,0.4561179679531015,0.021114102267872113,0.8904783462415402,0.010752097272076662,0.41302490234375,0.00697967435226244,0.33001708984375,0.0,0.0830078125,0.00697967435226244
random,transformer,random_init,block_02,all,3,0.21508350530159878,0.0010994646431743917,0.4203438405265884,0.001675213771506128,0.9076756495647681,0.0007812004029494032,0.45149485270182294,0.000511017582291894,0.4211578369140625,0.0,0.030337015787760418,0.000511017582291894
random,transformer,random_init,block_02,cycle,3,0.10616617540230933,0.0031828614234335954,0.2795077596071087,0.001897375021760598,0.9479308044157037,0.0017964816548936364,0.4018605550130208,0.0014731911076680683,0.4817047119140625,0.0,-0.07984415690104167,0.0014731911076680683
random,transformer,random_init,block_02,global_run,3,0.27781450294390614,0.001793143840774267,0.5107147903650484,0.0016989045820938189,0.9269121689113357,0.0009461120111364949,0.5548044840494791,0.0013683087428776142,0.4976806640625,0.0,0.057123819986979164,0.0013683087428776142
random,transformer,random_init,block_02,local,3,0.0813508814984891,0.002852080065956578,0.27120565775944006,0.004083864100419672,0.9742247165428108,0.0015538605100601564,0.3914896647135417,0.0017764752050898713,0.3752288818359375,0.0,0.016260782877604168,0.0017764752050898713
random,transformer,random_init,block_02,positional,3,0.3950024613616905,0.007857719466448925,0.6199471543747563,0.005931246015743094,0.7816349083892223,0.005397050981038979,0.45782470703125,0.0027613349577732464,0.33001708984375,0.0,0.1278076171875,0.0027613349577732464
random,transformer,random_init,block_03,all,3,0.22569984657992467,0.0023084526087511336,0.42975030251769225,0.0029779340316291284,0.9004683783752135,0.0014095015390256842,0.45511118570963544,0.001392110165572895,0.4211578369140625,0.0,0.033953348795572914,0.001392110165572895
random,transformer,random_init,block_03,cycle,3,0.10215588830337209,0.003702488762205858,0.2739675345099109,0.00738883785885481,0.950162461747484,0.0020796087047188134,0.4012247721354167,0.0012374053187546908,0.4817047119140625,0.0,-0.08047993977864583,0.0012374053187546908
random,transformer,random_init,block_03,global_run,3,0.29359698195600487,0.0024023541683108078,0.5259915892740111,0.0025917193181194073,0.9162158344175889,0.0015360434330271833,0.5583852132161459,0.001700265532739224,0.4976806640625,0.0,0.060704549153645836,0.001700265532739224
random,transformer,random_init,block_03,local,3,0.08557999809020352,0.0015187720467830805,0.27810447443394115,0.00209973685262656,0.9719346249843489,0.0008101771764431608,0.3938395182291667,0.0011007853014049964,0.3752288818359375,0.0,0.018610636393229168,0.0011007853014049964
random,transformer,random_init,block_03,positional,3,0.4214665179701182,0.004518909913066136,0.6409376118529059,0.0033911119725389535,0.7635605923514324,0.003011822834213741,0.4669952392578125,0.004253864689213221,0.33001708984375,0.0,0.1369781494140625,0.004253864689213221
random,transformer,random_init,block_04,all,3,0.22421647308091228,0.002006974655654825,0.4276480720163232,0.0017278628928946945,0.9012103718488685,0.001257780399029869,0.453765869140625,0.0009219500639428017,0.4211578369140625,0.0,0.0326080322265625,0.0009219500639428017
random,transformer,random_init,block_04,cycle,3,0.09684471034197994,0.001517553003168981,0.2653691031201624,0.0017071757763191932,0.953118019123116,0.000816869606486414,0.3991546630859375,0.0010704016056698965,0.4817047119140625,0.0,-0.082550048828125,0.0010704016056698965
random,transformer,random_init,block_04,global_run,3,0.29621817624514574,0.0028719891551669706,0.5286189064266008,0.0022845848791686963,0.9144007971036924,0.001841291960174848,0.5582529703776041,0.0013441887534749648,0.4976806640625,0.0,0.060572306315104164,0.0013441887534749648
random,transformer,random_init,block_04,local,3,0.08526405782702558,0.001087531739871536,0.2782620653056422,0.0014713014702277946,0.9720797218698477,0.0005876352296607377,0.3935546875,0.0017242431640625,0.3752288818359375,0.0,0.0183258056640625,0.0017242431640625
random,transformer,random_init,block_04,positional,3,0.4185389479094977,0.0032051195925821827,0.6383422132128875,0.002340397754339948,0.765242949298818,0.0021071474943786302,0.4641011555989583,0.002714235068314209,0.33001708984375,0.0,0.13408406575520834,0.002714235068314209
random,transformer,random_init,embedding,all,3,-2.3129646346357427e-18,8.012344526598183e-18,-0.0005359653895071174,0.0001741723020694445,1.0302822599035704,1.2819751242557092e-16,0.3819007873535156,0.0,0.4211578369140625,0.0,-0.039257049560546875,0.0
random,transformer,random_init,embedding,cycle,3,4.625929269271485e-18,8.012344526598183e-18,-0.0027243749327623148,0.0002772391161612319,1.0040621451047635,0.0,0.359466552734375,0.0,0.4817047119140625,0.0,-0.1222381591796875,0.0
random,transformer,random_init,embedding,global_run,3,0.0,0.0,-0.0025302705568987314,0.0006053337491008897,1.0908257061107252,0.0,0.4667816162109375,0.0,0.4976806640625,0.0,-0.0308990478515625,0.0
random,transformer,random_init,embedding,local,3,4.625929269271485e-18,8.012344526598183e-18,0.0031217101612567542,0.00048472359987304696,1.0167965545539535,0.0,0.3724822998046875,0.0,0.3752288818359375,0.0,-0.00274658203125,0.0
random,transformer,random_init,embedding,positional,3,-1.850371707708594e-17,1.6024689053196365e-17,-1.0926229624177967e-05,0.00022019736534271433,1.0094446338448388,0.0,0.3288726806640625,0.0,0.33001708984375,0.0,-0.0011444091796875,0.0
random,transformer,random_init,final_norm,all,3,0.22316039414638764,0.0024825057526836475,0.4260713455157356,0.002418017426783543,0.9018492610724586,0.0015463488878903024,0.4530982971191406,0.0003950192235749771,0.4211578369140625,0.0,0.031940460205078125,0.0003950192235749771
random,transformer,random_init,final_norm,cycle,3,0.09604608614109426,0.001876133223330173,0.2636526577296204,0.0023042636615569455,0.9535426911802064,0.0009959063375749337,0.3993682861328125,0.001584050455843422,0.4817047119140625,0.0,-0.08233642578125,0.001584050455843422
random,transformer,random_init,final_norm,global_run,3,0.29452569278240376,0.003633184677302943,0.5270342855861011,0.0031942808130956545,0.9154959948451128,0.002330782065861562,0.556488037109375,0.000797408607815791,0.4976806640625,0.0,0.058807373046875,0.000797408607815791
random,transformer,random_init,final_norm,local,3,0.08435438183644267,0.0010564442953274193,0.2760782998082045,0.0019687990197042684,0.9725698557567167,0.0005781663050020416,0.392059326171875,0.0007903699241009442,0.3752288818359375,0.0,0.0168304443359375,0.0007903699241009442
random,transformer,random_init,final_norm,positional,3,0.41771541582560995,0.004174685713608305,0.6375201389390163,0.0031316335202839674,0.7657885025077982,0.0027354270213782324,0.4644775390625,0.0013228586915095973,0.33001708984375,0.0,0.13446044921875,0.0013228586915095973
trained,mlp,algebra_a4,block_01,all,3,0.12784878800695162,0.011273450752217968,0.31687702521606315,0.015246536711797095,0.9592805051228721,0.0064530059250481105,0.39120229085286456,0.004379528871089808,0.4211578369140625,0.0,-0.029955546061197918,0.004379528871089808
trained,mlp,algebra_a4,block_01,cycle,3,0.012766253555553423,0.0016100117992287367,0.08267925697623864,0.008025035486098148,0.997630578168082,0.0008186868107827303,0.357421875,0.002024709644075832,0.4817047119140625,0.0,-0.1242828369140625,0.002024709644075832
trained,mlp,algebra_a4,block_01,global_run,3,0.2111911225170411,0.014038310597906044,0.452734827452089,0.016275255429676064,0.9672473295195664,0.008803388613913053,0.4775543212890625,0.005391709902683118,0.4976806640625,0.0,-0.0201263427734375,0.005391709902683118
trained,mlp,algebra_a4,block_01,local,3,0.09326369643519945,0.004078976090483379,0.30118341052865766,0.006270262279429892,0.967660023098121,0.0022178961641207725,0.3722890218098958,0.0012016074365250062,0.3752288818359375,0.0,-0.0029398600260416665,0.0012016074365250062
trained,mlp,algebra_a4,block_01,positional,3,0.19417407952001253,0.026241061304885443,0.4309106059072673,0.03146977615242435,0.9045840897057188,0.01446592592601786,0.3575439453125,0.009071269889201027,0.33001708984375,0.0,0.02752685546875,0.009071269889201027
trained,mlp,algebra_a4,embedding,all,3,-8.0953762212251e-18,8.731250023068179e-18,-0.0006439281420833673,0.00046031681875504516,1.0302822599035701,1.2819751242557092e-16,0.3819007873535156,0.0,0.4211578369140625,0.0,-0.039257049560546875,0.0
trained,mlp,algebra_a4,embedding,cycle,3,1.850371707708594e-17,1.6024689053196365e-17,-0.002889008094718029,0.0002644284958945223,1.0040621451047635,0.0,0.359466552734375,0.0,0.4817047119140625,0.0,-0.1222381591796875,0.0
trained,mlp,algebra_a4,embedding,global_run,3,-9.25185853854297e-18,1.6024689053196365e-17,-0.0028475671401059772,0.0008234780349982401,1.0908257061107252,0.0,0.4667816162109375,0.0,0.4976806640625,0.0,-0.0308990478515625,0.0
trained,mlp,algebra_a4,embedding,local,3,-1.3877787807814457e-17,2.4037033579794548e-17,0.0028861670764211834,0.0012489822817448367,1.0167965545539535,0.0,0.3724822998046875,0.0,0.3752288818359375,0.0,-0.00274658203125,0.0
trained,mlp,algebra_a4,embedding,positional,3,-2.7755575615628914e-17,2.7755575615628914e-17,0.00027469559006935437,0.00029215279685436093,1.0094446338448388,1.2819751242557092e-16,0.3288726806640625,0.0,0.33001708984375,0.0,-0.0011444091796875,0.0
trained,mlp,algebra_a4,final_norm,all,3,0.13217097663973443,0.009478668041603642,0.3229441417078323,0.01325195689712345,0.9567866422992942,0.0054122241417717395,0.39111963907877606,0.0034351350642036027,0.4211578369140625,0.0,-0.030038197835286457,0.0034351350642036027
