model_kind,run_id,architecture,condition,model_seed,trained_tasks,probe_task,probe_task_family,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,descents,local,embedding,1e-06,0.0,6144,2048,8192,-2.220446049250313e-16,0.0038154251647659044,1.0210358474220083,0.3427734375,0.3338623046875,0.0089111328125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,recoils,local,embedding,1e-06,2.220446049250313e-16,6144,2048,8192,0.0,0.030146915280292685,1.0117264466110467,0.3408203125,0.33642578125,0.00439453125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,peaks,local,embedding,1e-06,0.0,6144,2048,8192,0.0,-0.016521742908772185,0.987201497821541,0.4708251953125,0.4635009765625,0.00732421875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,valleys,local,embedding,1e-06,0.0,6144,2048,8192,0.0,0.009950511313596807,0.9926476029684151,0.458984375,0.45556640625,0.00341796875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_ascents,local,embedding,1.0,0.0,6144,2048,8192,0.0,0.0,1.012985218660725,0.3338623046875,0.344482421875,-0.0106201171875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_descents,local,embedding,1.0,0.0,6144,2048,8192,0.0,0.0,0.9962763749938195,0.3388671875,0.3399658203125,-0.0010986328125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,successions,local,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0677013036927756,0.3643798828125,0.398681640625,-0.0343017578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,adjacencies,local,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0447981442612964,0.329345703125,0.329345703125,0.0
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,fixed_points,positional,embedding,1e-06,0.0,6144,2048,8192,-2.220446049250313e-16,0.0,1.0125438624646814,0.3580322265625,0.369873046875,-0.0118408203125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,anti_fixed_points,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,0.9975928763619372,0.3592529296875,0.37939453125,-0.0201416015625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,exceedances,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,-0.010999023492384742,0.996743501992833,0.3426513671875,0.3426513671875,0.0
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,deficiencies,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.01748348114687979,1.0018364670463262,0.3414306640625,0.34033203125,0.0010986328125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_maxima,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0233111062138236,0.3040771484375,0.3026123046875,0.00146484375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_minima,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,0.9857920972831147,0.3160400390625,0.307373046875,0.0086669921875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_maxima,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0300600749281232,0.305908203125,0.3045654296875,0.0013427734375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_minima,positional,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0276770844678722,0.3035888671875,0.2933349609375,0.01025390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,1.1102230246251565e-16,0.0,0.9967724289122707,0.3077392578125,0.3079833984375,-0.000244140625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,two_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,2.220446049250313e-16,0.0,1.010170244848821,0.4593505859375,0.6026611328125,-0.143310546875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,three_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0003236622577176,0.7235107421875,0.7235107421875,0.0
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,even_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0111505563890062,0.3974609375,0.40771484375,-0.01025390625
