architecture,condition,layer,probe_task_family,seed_count,length_conditioned_r2_delta_mean,length_conditioned_r2_delta_sample_sd,pearson_r_delta_mean,pearson_r_delta_sample_sd,normalized_rmse_delta_mean,normalized_rmse_delta_sample_sd,exact_accuracy_delta_mean,exact_accuracy_delta_sample_sd,length_mode_baseline_accuracy_delta_mean,length_mode_baseline_accuracy_delta_sample_sd,exact_accuracy_minus_baseline_delta_mean,exact_accuracy_minus_baseline_delta_sample_sd
transformer,encoding_e4,embedding,local,3,-1.3877787807814457e-17,2.7755575615628914e-17,-0.00016708582478320525,0.0009636289517855628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,encoding_e4,embedding,positional,3,9.25185853854297e-18,3.204937810639273e-17,0.001435114173338756,0.001015009102236437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,encoding_e4,embedding,cycle,3,1.850371707708594e-17,8.012344526598183e-18,0.0014753672604535945,0.0020602920698478593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,encoding_e4,embedding,global_run,3,0.0,0.0,0.0012717412237802123,0.001831116503155867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transformer,encoding_e4,embedding,all,3,3.469446951953614e-18,1.2509268882771003e-17,0.0010037842081973395,0.0003808457003907249,-1.4802973661668753e-16,1.2819751242557092e-16,0.0,0.0,0.0,0.0,0.0,0.0
transformer,encoding_e4,block_01,local,3,0.05880817844635076,0.0177667430908576,0.1076713719412226,0.03054009207939937,-0.03143513939687392,0.009490245431762127,0.0015665690104166667,0.003280119152326614,0.0,0.0,0.0015665690104166667,0.003280119152326614
transformer,encoding_e4,block_01,positional,3,0.13618368349437782,0.06369856066002179,0.13136250235733649,0.060604670086202427,-0.08461600211230431,0.03823696187763816,0.0225067138671875,0.01987186493979072,0.0,0.0,0.0225067138671875,0.01987186493979072
transformer,encoding_e4,block_01,cycle,3,-0.03776400497374106,0.011993334231897967,-0.05150213692091438,0.01758749624833363,0.02071759528011193,0.006498486676859663,-0.009958902994791666,0.003658812416309073,0.0,0.0,-0.009958902994791666,0.003658812416309073
transformer,encoding_e4,block_01,global_run,3,0.17108020496198448,0.043504706180068894,0.19222723652524984,0.045651132983390005,-0.11000988682629757,0.028068013932125553,0.019770304361979168,0.013031768180948844,0.0,0.0,0.019770304361979168,0.013031768180948844
transformer,encoding_e4,block_01,all,3,0.08207701548224298,0.03343477476991044,0.0949397434757236,0.03679588903447666,-0.05133585826384098,0.020154695419052803,0.008471171061197916,0.009496623783025349,0.0,0.0,0.008471171061197916,0.009496623783025349
transformer,encoding_e4,block_02,local,3,0.16284193752260384,0.04283864330115393,0.2185337694403363,0.043688561004494225,-0.09161012177607548,0.025135400999846038,0.017476399739583332,0.005911364642141603,0.0,0.0,0.017476399739583332,0.005911364642141603
transformer,encoding_e4,block_02,positional,3,0.15855942245801918,0.06615798522220889,0.11638102546047928,0.04334844790840569,-0.1171757796483874,0.05312732086536423,0.048482259114583336,0.031150982616747872,0.0,0.0,0.048482259114583336,0.031150982616747872
transformer,encoding_e4,block_02,cycle,3,0.01090438548749994,0.016866201768929674,0.031221013991456253,0.021085022940208267,-0.005755496240722913,0.009438436318622236,0.006520589192708333,0.005948781987866608,0.0,0.0,0.006520589192708333,0.005948781987866608
transformer,encoding_e4,block_02,global_run,3,0.19073748778649038,0.04552595968757526,0.168144320103767,0.03481128983209539,-0.13787093121709815,0.03450886511907662,0.025990804036458332,0.009994732026725149,0.0,0.0,0.025990804036458332,0.009994732026725149
transformer,encoding_e4,block_02,all,3,0.13076080831365333,0.0426888898692103,0.13357003224900973,0.03566337000171313,-0.08810308222057095,0.0304314340343033,0.024617513020833332,0.013220408006151017,0.0,0.0,0.024617513020833332,0.013220408006151017
transformer,encoding_e4,block_03,local,3,0.1829999143740354,0.026973540153369238,0.2367367344453942,0.025596531834774804,-0.10366031281941952,0.016115589436228307,0.019938151041666668,0.004158946176210612,0.0,0.0,0.019938151041666668,0.004158946176210612
transformer,encoding_e4,block_03,positional,3,0.1452538758044977,0.05164098265190937,0.10448644069035255,0.034784921091207975,-0.10949612517269036,0.04091095120482897,0.045201619466145836,0.022326358218173636,0.0,0.0,0.045201619466145836,0.022326358218173636
transformer,encoding_e4,block_03,cycle,3,0.016005030919397433,0.018044094809900282,0.041667114088129086,0.026677869709440413,-0.008478408620768244,0.010075073994745318,0.0070648193359375,0.008183136497050412,0.0,0.0,0.0070648193359375,0.008183136497050412
transformer,encoding_e4,block_03,global_run,3,0.194162512887785,0.028181707208362234,0.1672366215574064,0.022170000166990805,-0.14247406030138235,0.021142181755811115,0.027491251627604168,0.0068054427301911325,0.0,0.0,0.027491251627604168,0.0068054427301911325
transformer,encoding_e4,block_03,all,3,0.1346053334964289,0.030570432678342453,0.1375317276953206,0.026748016780180267,-0.09102722672856516,0.021683941396991504,0.024923960367838543,0.01034228614758017,0.0,0.0,0.024923960367838543,0.01034228614758017
transformer,encoding_e4,block_04,local,3,0.18601116888144176,0.010768297115024146,0.23955110236797586,0.009789449415394693,-0.1053233122059311,0.006316253643659306,0.0221710205078125,0.003571078270524149,0.0,0.0,0.0221710205078125,0.003571078270524149
transformer,encoding_e4,block_04,positional,3,0.14610444327860908,0.03537745910746539,0.10582711862213053,0.023314459101439502,-0.10898801462662566,0.028319295915014104,0.048024495442708336,0.01809529194756705,0.0,0.0,0.048024495442708336,0.01809529194756705
transformer,encoding_e4,block_04,cycle,3,0.020207412834043318,0.006668898442657116,0.05179412313319156,0.0070441643792273695,-0.010650643331644782,0.0037155216373033592,0.0103759765625,0.002580901370508675,0.0,0.0,0.0103759765625,0.002580901370508675
transformer,encoding_e4,block_04,global_run,3,0.1903142990516317,0.015333259848813114,0.16324401401876912,0.01208181093483743,-0.14018594087006445,0.011782249102291283,0.028635660807291668,0.0027787898582569146,0.0,0.0,0.028635660807291668,0.0027787898582569146
transformer,encoding_e4,block_04,all,3,0.13565933101143143,0.015007260224514471,0.14010408953551676,0.011545357911635752,-0.09128697775856653,0.011290351159697964,0.027301788330078125,0.0049448821669089505,0.0,0.0,0.027301788330078125,0.0049448821669089505
transformer,encoding_e4,final_norm,local,3,0.1841242071258343,0.00827454001322532,0.23913241719876635,0.00790885403580802,-0.10414634886980996,0.004818213119943286,0.022730509440104168,0.0008591569999699229,0.0,0.0,0.022730509440104168,0.0008591569999699229
