architecture,metric,contrast,mean,sample_sd
transformer,structured_holdout_loss,data_effect_at_1x_model,7.355341669830962,2.066783060201258
transformer,structured_holdout_loss,model_effect_at_1x_data,0.39858674106264225,0.7325484779079183
transformer,structured_holdout_loss,data_effect_at_2x_model,5.072596735172099,0.4357581243023149
transformer,structured_holdout_loss,model_effect_at_10x_data,-1.8841581935962217,2.514778688686518
transformer,structured_holdout_loss,data_by_model_interaction,-2.282744934658864,1.7938912636151123
transformer,structured_holdout_token_accuracy,data_effect_at_1x_model,-0.07512038354611086,0.08779275020274553
transformer,structured_holdout_token_accuracy,model_effect_at_1x_data,0.006705937720727223,0.042079620344267696
transformer,structured_holdout_token_accuracy,data_effect_at_2x_model,-0.0734376055673775,0.11155732917385601
transformer,structured_holdout_token_accuracy,model_effect_at_10x_data,0.008388715699460586,0.09865373174437295
transformer,structured_holdout_token_accuracy,data_by_model_interaction,0.0016827779787333779,0.09685188426980144
transformer,structured_holdout_sequence_accuracy,data_effect_at_1x_model,0.0,0.0
transformer,structured_holdout_sequence_accuracy,model_effect_at_1x_data,0.0,0.0
transformer,structured_holdout_sequence_accuracy,data_effect_at_2x_model,0.0,0.0
transformer,structured_holdout_sequence_accuracy,model_effect_at_10x_data,0.0,0.0
transformer,structured_holdout_sequence_accuracy,data_by_model_interaction,0.0,0.0
mlp,structured_holdout_loss,data_effect_at_1x_model,1.0035339408096815,1.563994770273941
mlp,structured_holdout_loss,model_effect_at_1x_data,0.30436231552966103,0.7694905854878356
mlp,structured_holdout_loss,data_effect_at_2x_model,2.334284609386812,1.1757295216830363
mlp,structured_holdout_loss,model_effect_at_10x_data,1.6351129841067917,0.47862869609106495
mlp,structured_holdout_loss,data_by_model_interaction,1.3307506685771306,0.3910872284285029
mlp,structured_holdout_token_accuracy,data_effect_at_1x_model,0.04261162535779156,0.006821092579157774
mlp,structured_holdout_token_accuracy,model_effect_at_1x_data,-0.0068031104017339805,0.01335869386918865
mlp,structured_holdout_token_accuracy,data_effect_at_2x_model,0.009517344030142158,0.023831282486797934
mlp,structured_holdout_token_accuracy,model_effect_at_10x_data,-0.039897391729383384,0.024568211851848824
mlp,structured_holdout_token_accuracy,data_by_model_interaction,-0.03309428132764941,0.01906931291303566
mlp,structured_holdout_sequence_accuracy,data_effect_at_1x_model,0.0,0.0
mlp,structured_holdout_sequence_accuracy,model_effect_at_1x_data,0.0,0.0
mlp,structured_holdout_sequence_accuracy,data_effect_at_2x_model,0.0,0.0
mlp,structured_holdout_sequence_accuracy,model_effect_at_10x_data,0.0,0.0
mlp,structured_holdout_sequence_accuracy,data_by_model_interaction,0.0,0.0
