condition,data_multiplier,model_multiplier,architecture,seed,run_id,structured_holdout_loss,structured_holdout_token_accuracy,structured_holdout_sequence_accuracy,parity_loss,parity_token_accuracy,parity_sequence_accuracy,examples_per_task,checkpoint_sha256
baseline,1,1,transformer,17,transformer-tasks16-seed17,5.241636366374935,0.2743377274968041,0.0,4.7912874694824215,0.5035,0.011,5000,935734ef2df27dd9a48e65306c4128142db0501c5718673c80edb5fc2051a5ef
baseline,1,1,transformer,42,transformer-tasks16-seed42,6.433186331086035,0.1898156507943397,0.0,4.743027590179444,0.4976,0.0,5000,8cdeb4078e13a22efeb6700c02a8be97793c5e7ba60052e3579f923e036977d7
baseline,1,1,transformer,314159,transformer-tasks16-seed314159,6.941726482926221,0.1934806161805678,0.0,5.499704156494141,0.5124,0.0248,5000,e1121547778afcadb972a243cae1b3f4b78d255752c3bef968c49db1b47b493b
baseline,1,1,mlp,17,mlp-tasks16-seed17,9.160035675133557,0.2690289140616528,0.0,4.567333349609375,0.5243,0.0486,5000,faf0ed56a7f122461d835b3c583199546480909c667b284756f45a139e6bca45
baseline,1,1,mlp,42,mlp-tasks16-seed42,7.84948756592462,0.2624751111436978,0.0,3.7138248275756838,0.5185,0.037,5000,f2ba156b4f20077f8d105842a86e27f0e333941bfc738fb25251838646ee5482
baseline,1,1,mlp,314159,mlp-tasks16-seed314159,6.6507578370822396,0.2760237332872687,0.0,5.952699293518067,0.5145,0.029,5000,49e64484885178675f1c119f3f0686ef81e9c4c195de122867a5a72a8789487c
data10x_model1x,10,1,transformer,17,transformer-tasks16-seed17,14.917742235690435,0.10823330993421948,0.0,10.262546899414062,0.5,0.0,5000,ca52e2222556b4bf006795efd1b3798d6bd1b26aa5b7289f1fa43a3fffb72208
data10x_model1x,10,1,transformer,42,transformer-tasks16-seed42,12.146344732923708,0.19890415594993469,0.0,8.193423071289063,0.5,0.0,5000,785ec22e9a965956404df8d51fbce4d0bf87d1547332906bbf8aac1626e0a9d1
data10x_model1x,10,1,transformer,314159,transformer-tasks16-seed314159,13.618487221265935,0.12513537794922483,0.0,7.124600234985351,0.503,0.006,5000,376a5d4bfc94b314ddd63377e29cb8acddf68ceda29ba49617fddd606ec06610
data10x_model1x,10,1,mlp,17,mlp-tasks16-seed17,9.386746221026753,0.31383654162536945,0.0,4.867280303955078,0.5872,0.1744,5000,244d7b713cd36217698e881837dd18909f6a07826bd2a4dc225e7d5ce3654b40
data10x_model1x,10,1,mlp,42,mlp-tasks16-seed42,7.829523610317264,0.3105393448897971,0.0,8.472754098510743,0.5132,0.0264,5000,6b1e208686eef949014612951cabe595de08cfd2dab7a6bd919b3e6ebd800e27
data10x_model1x,10,1,mlp,314159,mlp-tasks16-seed314159,9.454613069225443,0.31098674805082743,0.0,8.195108053588868,0.5323,0.0658,5000,f23e0dc55a63ac30e610eaf980956db66a01520bd14a9d6b58e647f169d68119
data1x_model2x,1,2,transformer,17,transformer-tasks16-seed17,4.953680454652837,0.3296323476256284,0.0,7.919683596801757,0.1977,0.029,5000,851c9cd54344f3a5320c9b438328a82fb4d229b4989aa74577a20c59066f1be2
data1x_model2x,1,2,transformer,42,transformer-tasks16-seed42,7.602971567479497,0.17200497562700165,0.0,5.313192602539062,0.5,0.0,5000,c61e1580f9d5a6b4372e0c524edaedb50e59fe984fbf733f8525db7778d9f185
data1x_model2x,1,2,transformer,314159,transformer-tasks16-seed314159,7.255657381442783,0.17611448438126323,0.0,6.354833142089844,0.3269,0.0054,5000,08c0b7c95b6f7029ecdac8c53cda8ab01c1a07fc45bf451767f51b6a0f16c16f
data1x_model2x,1,2,mlp,17,mlp-tasks16-seed17,8.778816456878067,0.2734312742251294,0.0,4.0688998306274415,0.5325,0.065,5000,ddc354be95744c63f0b11d230d9afc0737bfb3570c927bfe78331f4394a4f80e
data1x_model2x,1,2,mlp,42,mlp-tasks16-seed42,8.007151903272966,0.2592498304719189,0.0,4.535301423645019,0.531,0.062,5000,37e987798ca5ea85567f2ab2cbca1a47ccf9f37eab0a8206af4c5db6cb43884f
data1x_model2x,1,2,mlp,314159,mlp-tasks16-seed314159,7.787399664578366,0.25443732259036905,0.0,4.610701924133301,0.5129,0.0258,5000,8aeab5f2f6263d2a34970ebe15fbf01afd438cb6c8bab905bb26897e1e7aa556
data10x_model2x,10,2,transformer,17,transformer-tasks16-seed17,10.448921406778616,0.14516789347690826,0.0,10.666965322875976,0.4688,0.0,5000,b27e3dedaec75a2a03b625a12a1ff412385103edda9b46fec7816fb4404839f1
