run_id,architecture,trained_task_count,seed,task,task_status,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,in_domain_loss,in_domain_token_accuracy,in_domain_sequence_accuracy,loss_delta_out_minus_in,token_accuracy_delta_out_minus_in,sequence_accuracy_delta_out_minus_in
transformer-tasks01-seed17,transformer,1,17,bruhat_leq,pool_unseen,1000,2000,5.75935998916626,0.5,0.0,6.002512001037598,0.4979,0.0,-0.24315201187133795,0.0020999999999999908,0.0
transformer-tasks01-seed17,transformer,1,17,compose,fixed_train_holdout,1000,72906,12.451031229425562,0.007886868021836337,0.0,14.738192049030825,0.005331118415626951,0.0,-2.2871608196052637,0.002555749606209385,0.0
transformer-tasks01-seed17,transformer,1,17,cycle_type,pool_unseen,1000,10104,14.963948712684951,0.006334125098970704,0.0,15.341897050594477,0.00975308054617251,0.0,-0.3779483379095261,-0.0034189554472018064,0.0
transformer-tasks01-seed17,transformer,1,17,descents,pool_unseen,1000,2000,4.764508163452148,0.325,0.041,1.5124384819030763,0.6948,0.3896,3.252069681549072,-0.36979999999999996,-0.3486
transformer-tasks01-seed17,transformer,1,17,exceedances,pool_unseen,1000,2000,4.754404586791992,0.337,0.055,2.092679783630371,0.6494,0.2988,2.6617248031616207,-0.31239999999999996,-0.24380000000000002
transformer-tasks01-seed17,transformer,1,17,fixed_points,pool_unseen,1000,2000,5.929188079833985,0.4995,0.0,6.212362001037597,0.5109,0.0398,-0.2831739212036126,-0.011400000000000021,-0.0398
transformer-tasks01-seed17,transformer,1,17,inverse,pool_unseen,1000,73094,12.732621051317482,0.006813144717760691,0.0,14.92154544733327,0.005878603300517034,0.0,-2.1889243960157874,0.0009345414172436577,0.0
transformer-tasks01-seed17,transformer,1,17,lds_length,pool_unseen,1000,2000,4.336999599456787,0.5055,0.011,4.162381405639649,0.5562,0.1316,0.17461819381713806,-0.05070000000000008,-0.1206
transformer-tasks01-seed17,transformer,1,17,length,pool_unseen,1000,5000,16.3406875,0.0,0.0,13.46521497257478,0.10987564971379696,0.05,2.875472527425222,-0.10987564971379696,-0.05
transformer-tasks01-seed17,transformer,1,17,lis_length,pool_unseen,1000,2000,4.466108987808227,0.5125,0.025,4.596392701721191,0.5485,0.1138,-0.13028371391296378,-0.03600000000000003,-0.08879999999999999
transformer-tasks01-seed17,transformer,1,17,parity,fixed_train_holdout,1000,2000,5.984406295776367,0.5,0.0,6.090256713867188,0.5267,0.0534,-0.10585041809082085,-0.026699999999999946,-0.0534
transformer-tasks01-seed17,transformer,1,17,pattern_avoidance,pool_unseen,1000,2000,5.7931720123291015,0.5,0.0,5.886980801391601,0.4932,0.0,-0.0938087890624999,0.006799999999999973,0.0
transformer-tasks01-seed17,transformer,1,17,peaks,pool_unseen,1000,2000,2.4359401016235354,0.5465,0.095,4.792226383972168,0.5478,0.0956,-2.356286282348633,-0.0012999999999999678,-0.0006000000000000033
transformer-tasks01-seed17,transformer,1,17,recoils,seen,1000,2000,4.935911808013916,0.306,0.036,0.3406209774494171,0.8478,0.6956,4.595290830564499,-0.5418000000000001,-0.6596
transformer-tasks01-seed17,transformer,1,17,right_multiply_simple,pool_unseen,1000,73116,12.704719133166817,0.006729033316921057,0.0,14.927783793743806,0.0052687906478966,0.0,-2.2230646605769895,0.001460242669024457,0.0
transformer-tasks01-seed17,transformer,1,17,rsk_shape,pool_unseen,1000,20450,15.347143805394253,0.0026894865525672372,0.0,15.934563452856048,0.006542741836859484,0.0,-0.587419647461795,-0.0038532552842922467,0.0
transformer-tasks01-seed17,transformer,1,17,to_cycle,pool_unseen,1000,73182,13.054488723319942,0.007242218031756443,0.0,14.78759082331092,0.007185876239962211,0.0,-1.7331020999909779,5.634179179423229e-05,0.0
transformer-tasks01-seed17,transformer,1,17,to_inversion_vector,pool_unseen,1000,72902,14.41601074901923,0.006090367891141532,0.0,16.01350620742029,0.005652106585984681,0.0,-1.5974954584010579,0.00043826130515685086,0.0
transformer-tasks01-seed17,transformer,1,17,to_lehmer,fixed_train_holdout,1000,72832,14.436369616034161,0.005903998242530756,0.0,16.034145833014005,0.006154457018066309,0.0,-1.5977762169798435,-0.0002504587755355536,0.0
transformer-tasks01-seed42,transformer,1,42,bruhat_leq,pool_unseen,1000,2000,6.317147735595703,0.5,0.0,6.83167684173584,0.4999,0.0,-0.5145291061401371,9.999999999998899e-05,0.0
transformer-tasks01-seed42,transformer,1,42,compose,fixed_train_holdout,1000,72906,12.264735356465003,0.013743724796313061,0.0,13.645203743389487,0.028805711660127947,0.0,-1.380468386924484,-0.015061986863814885,0.0
