architecture,trained_task_count,task_status,task_count,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd,in_domain_sequence_accuracy_mean,sequence_accuracy_delta_out_minus_in_mean,sequence_accuracy_delta_out_minus_in_sample_sd
mlp,1,fixed_train_holdout,3,3,10.224701216280447,0.4601896810318801,0.1349023948920742,0.0332772918417363,0.009666666666666665,0.0072648315725677886,0.02282222222222222,-0.013155555555555554,0.007280211637135384
mlp,1,pool_unseen,15,3,10.047990057662139,0.4989382198414946,0.1314586460345669,0.03352214900224963,0.009755555555555556,0.002982417612410243,0.08376,-0.07400444444444444,0.0031156760160576742
mlp,1,seen,1,3,9.327170324961344,1.4519166107155945,0.10766666666666667,0.038445849364181474,0.0016666666666666668,0.0020816659994661326,0.5028666666666667,-0.5012,0.006743886120034942
mlp,2,fixed_train_holdout,3,3,10.567769965932989,0.4322201799611019,0.11773048064246276,0.012050436784724446,0.0006666666666666666,0.0005773502691896258,0.018511111111111114,-0.017844444444444444,0.0010590002273283422
mlp,2,pool_unseen,14,3,10.3834884906899,0.33711258201698896,0.11486170085191628,0.012323458980077666,0.003928571428571429,0.001426784596817013,0.0683095238095238,-0.06438095238095239,0.0006156684327197717
mlp,2,seen,2,3,8.579045928319296,1.5678105389686658,0.13549999999999998,0.01765467360219384,0.017666666666666667,0.009115005942583545,0.5054,-0.48773333333333335,0.01264331180242476
mlp,4,fixed_train_holdout,3,3,6.628936575861181,0.45411115299996246,0.3749784522258917,0.025705930683003673,0.04255555555555555,0.018446117728651176,0.03768888888888889,0.0048666666666666615,0.023806721739878422
mlp,4,pool_unseen,12,3,7.678272376202038,0.4640472144073878,0.3379726065708057,0.026350090231763625,0.008027777777777778,0.004809086692378795,0.04251666666666667,-0.03448888888888889,0.025370161461697335
mlp,4,seen,4,3,5.333849792680809,0.3872445561454349,0.45103882838148013,0.04451794970656433,0.025166666666666667,0.009982275959586237,0.4413666666666667,-0.41620000000000007,0.00872338810325438
mlp,8,fixed_train_holdout,3,3,7.975669127661163,0.5010698484956105,0.38241855087266985,0.012990221031150289,0.051333333333333335,0.028005951748393293,2.2222222222222223e-05,0.05131111111111111,0.02802580821182372
mlp,8,pool_unseen,8,3,10.466882354021203,0.505047679887033,0.3854590616557485,0.025968147062555173,0.018041666666666668,0.014268810683912423,0.018166666666666668,-0.0001250000000000001,0.01634371056400596
mlp,8,seen,8,3,6.813986768131336,0.8159003265730229,0.43977396359355675,0.014132527706806576,0.04075,0.00965660395791398,0.39553333333333335,-0.3547833333333334,0.02143910465325764
mlp,16,fixed_train_holdout,3,3,6.619971778049812,0.6678410731165456,0.27323265768233185,0.05690080804669132,0.0036666666666666666,0.003214550253664318,0.012733333333333333,-0.009066666666666666,0.00623360070727808
mlp,16,seen,16,3,5.165293777314372,0.36741446152071205,0.33645171039238314,0.06410345520622093,0.026270833333333337,0.004746023554864992,0.34400000000000003,-0.3177291666666667,0.004586432664210083
transformer,1,fixed_train_holdout,3,3,11.181112287695626,0.27530747324075744,0.15566720307654425,0.03244748711692535,0.0,0.0,0.01828888888888889,-0.01828888888888889,0.002568469785112731
transformer,1,pool_unseen,15,3,9.432695150012728,0.2557079555755685,0.23990323570400143,0.013370871377423517,0.01626666666666667,0.0010477489097001139,0.07512,-0.058853333333333334,0.0034232927618498125
